id,symbol,side,bar_time,outcome,ema9,slope_pct,body_atr_ratio,detected_at
3,NEAR,short,"2026-06-05 00:00:00+00:00",detected,,-0.0601706596100171,,2026-06-05T00:15:15.177270+00:00
11,NEAR,short,"2026-06-05 00:15:00+00:00",fired,,,,2026-06-05T00:31:37.768855+00:00
15,NEAR,short,"2026-06-05 01:00:00+00:00",detected,,-0.0615412540237781,,2026-06-05T01:15:44.769515+00:00
17,NEAR,short,"2026-06-05 01:15:00+00:00",fired,,,,2026-06-05T01:30:02.594697+00:00
53,NEAR,short,"2026-06-05 19:45:00+00:00",detected,,-0.0729556331942294,,2026-06-05T20:00:43.995714+00:00
55,NEAR,short,"2026-06-05 20:00:00+00:00",fired,,,,2026-06-05T20:16:08.278858+00:00
151,NEAR,short,"2026-06-07 00:00:00+00:00",detected,,-0.0343120522639073,,2026-06-07T00:15:09.174564+00:00
160,NEAR,short,"2026-06-07 00:15:00+00:00",fired,,,,2026-06-07T00:30:27.767918+00:00
163,NEAR,short,"2026-06-07 00:30:00+00:00",detected,,-0.0335869157125566,,2026-06-07T00:45:44.868624+00:00
168,NEAR,short,"2026-06-07 00:45:00+00:00",fired,,,,2026-06-07T01:00:56.474606+00:00
174,NEAR,short,"2026-06-07 01:00:00+00:00",detected,,-0.0322691608903973,,2026-06-07T01:16:03.671718+00:00
184,NEAR,short,"2026-06-07 01:15:00+00:00",fired,,,,2026-06-07T01:31:36.442785+00:00
188,NEAR,short,"2026-06-07 01:45:00+00:00",detected,,-0.029505994234134,,2026-06-07T02:00:15.957131+00:00
190,NEAR,short,"2026-06-07 02:00:00+00:00",fired,,,,2026-06-07T02:15:14.376592+00:00
212,NEAR,short,"2026-06-07 06:15:00+00:00",detected,,-0.0220346948518166,,2026-06-07T06:30:59.878959+00:00
215,NEAR,short,"2026-06-07 06:30:00+00:00",fired,,,,2026-06-07T06:46:10.867240+00:00
243,NEAR,short,"2026-06-07 14:15:00+00:00",detected,,-0.0141336839710162,,2026-06-07T14:30:02.435643+00:00
244,NEAR,short,"2026-06-07 14:30:00+00:00",fired,,,,2026-06-07T14:45:12.176048+00:00
