sl_zec_usdt,sl_baseline,n,wins,losses,win_rate,net_pnl,gross_win,gross_loss,profit_factor,avg_trade,median_trade,max_dd,long_n,short_n,avg_dur_bars
17.5,7.0,4292,1848,2444,0.4306,5480.36,68473.03,62992.66,1.087,1.277,-13.497,-5729.26,2166,2126,2.5
82.5,33.0,3082,1834,1248,0.5951,5280.1,65754.25,60474.15,1.087,1.713,23.98,-5450.36,1566,1516,5.6
20.0,8.0,4226,1873,2353,0.4432,4597.89,68790.51,64192.62,1.072,1.088,-13.497,-5696.33,2131,2095,2.6
15.0,6.0,4370,1812,2558,0.4146,4569.13,66668.24,62099.11,1.074,1.046,-13.503,-5648.23,2209,2161,2.3
85.0,34.0,3068,1828,1240,0.5958,4544.81,65616.03,61071.22,1.074,1.481,23.98,-6112.16,1560,1508,5.7
67.5,27.0,3225,1858,1367,0.5761,4448.26,65977.49,61529.24,1.072,1.379,23.98,-5692.1,1640,1585,5.0
65.0,26.0,3263,1866,1397,0.5719,4277.5,66401.86,62124.37,1.069,1.311,23.98,-5734.38,1656,1607,4.9
80.0,32.0,3105,1831,1274,0.5897,4197.73,65579.07,61381.34,1.068,1.352,23.98,-6148.17,1578,1527,5.5
47.5,19.0,3526,1893,1633,0.5369,4088.12,68197.54,64109.42,1.064,1.159,5.253,-6738.28,1788,1738,4.1
62.5,25.0,3299,1872,1427,0.5674,3839.1,66714.74,62875.64,1.061,1.164,23.98,-5762.29,1673,1626,4.7
77.5,31.0,3134,1838,1296,0.5865,3692.74,65479.84,61787.09,1.06,1.178,23.98,-6272.61,1589,1545,5.4
32.5,13.0,3872,1906,1966,0.4923,3690.25,69941.15,66250.9,1.056,0.953,-13.497,-6215.76,1955,1917,3.3
60.0,24.0,3333,1873,1460,0.562,3531.16,66927.35,63396.19,1.056,1.059,23.98,-5850.42,1692,1641,4.6
87.5,35.0,3047,1817,1230,0.5963,3522.43,65107.38,61584.95,1.057,1.156,23.98,-6148.41,1550,1497,5.8
22.5,9.0,4152,1879,2273,0.4526,3442.37,68686.81,65244.44,1.053,0.829,-13.497,-6007.7,2093,2059,2.8
100.0,40.0,2931,1787,1144,0.6097,3400.6,63674.6,60274.0,1.056,1.16,23.98,-6583.36,1487,1444,6.3
97.5,39.0,2959,1795,1164,0.6066,3386.72,64271.94,60885.22,1.056,1.145,23.98,-6105.33,1503,1456,6.2
90.0,36.0,3033,1814,1219,0.5981,3300.73,64943.54,61642.8,1.054,1.088,23.98,-6404.18,1542,1491,5.9
92.5,37.0,3012,1807,1205,0.5999,3291.33,64752.61,61461.27,1.054,1.093,23.98,-6535.54,1533,1479,6.0
70.0,28.0,3205,1848,1357,0.5766,3264.52,65591.25,62326.73,1.052,1.019,23.98,-6086.3,1629,1576,5.1
55.0,22.0,3400,1874,1526,0.5512,3244.11,67291.23,64047.12,1.051,0.954,21.349,-6846.44,1725,1675,4.4
50.0,20.0,3484,1883,1601,0.5405,3209.04,67655.27,64446.24,1.05,0.921,8.85,-7058.17,1766,1718,4.2
27.5,11.0,4015,1904,2111,0.4742,3101.96,69196.7,66094.74,1.047,0.773,-13.497,-6386.9,2026,1989,3.0
45.0,18.0,3574,1892,1682,0.5294,3058.14,68345.1,65286.96,1.047,0.856,5.253,-6655.1,1804,1770,3.9
40.0,16.0,3683,1896,1787,0.5148,3002.78,68994.37,65991.59,1.046,0.815,5.247,-6392.69,1867,1816,3.7
25.0,10.0,4081,1892,2189,0.4636,2963.5,68905.52,65942.02,1.045,0.726,-13.497,-6128.29,2061,2020,2.9
95.0,38.0,2992,1802,1190,0.6023,2934.8,64466.05,61531.25,1.048,0.981,23.98,-6299.83,1519,1473,6.1
37.5,15.0,3739,1897,1842,0.5074,2909.68,69165.03,66255.34,1.044,0.778,5.247,-6912.68,1890,1849,3.6
72.5,29.0,3192,1847,1345,0.5786,2887.59,65683.58,62795.99,1.046,0.905,23.98,-6542.03,1620,1572,5.1
35.0,14.0,3810,1896,1914,0.4976,2880.95,69633.48,66752.54,1.043,0.756,-12.25,-6971.39,1924,1886,3.4
75.0,30.0,3172,1843,1329,0.581,2860.48,65612.96,62752.49,1.046,0.902,23.98,-6467.21,1610,1562,5.2
52.5,21.0,3442,1876,1566,0.545,2829.38,67413.07,64583.68,1.044,0.822,13.215,-7125.98,1746,1696,4.3
30.0,12.0,3942,1906,2036,0.4835,2697.12,69240.59,66543.47,1.041,0.684,-13.497,-6346.11,1988,1954,3.2
57.5,23.0,3380,1876,1504,0.555,2476.83,67085.87,64609.03,1.038,0.733,23.98,-6764.0,1715,1665,4.5
42.5,17.0,3633,1893,1740,0.5211,2296.05,68439.19,66143.14,1.035,0.632,5.253,-6907.43,1837,1796,3.8
