sl_zec_usdt,sl_baseline,n,wins,losses,win_rate,net_pnl,gross_win,gross_loss,profit_factor,avg_trade,median_trade,max_dd,long_n,short_n,avg_dur_bars
82.5,33.0,780,535,245,0.6859,13563.89,22893.7,9329.81,2.454,17.39,23.98,-389.35,397,383,3.6
65.0,26.0,788,530,258,0.6726,13312.53,22821.42,9508.89,2.4,16.894,23.98,-299.76,400,388,3.1
85.0,34.0,779,534,245,0.6855,13309.85,22822.16,9512.31,2.399,17.086,23.98,-406.84,396,383,3.7
77.5,31.0,785,535,250,0.6815,13303.61,22878.34,9574.73,2.389,16.947,23.98,-450.65,400,385,3.5
55.0,22.0,804,532,272,0.6617,13286.89,22915.98,9629.09,2.38,16.526,23.98,-248.77,408,396,2.8
67.5,27.0,787,531,256,0.6747,13266.48,22812.24,9545.76,2.39,16.857,23.98,-314.77,399,388,3.2
15.0,6.0,812,474,338,0.5837,13249.26,21025.93,7776.67,2.704,16.317,23.98,-177.96,409,403,1.7
80.0,32.0,783,534,249,0.682,13213.04,22854.36,9641.32,2.37,16.875,23.98,-470.65,399,384,3.5
62.5,25.0,794,531,263,0.6688,13132.74,22864.11,9731.37,2.35,16.54,23.98,-284.75,401,393,3.0
70.0,28.0,786,530,256,0.6743,13092.96,22725.05,9632.09,2.359,16.658,23.98,-390.66,399,387,3.2
72.5,29.0,786,531,255,0.6756,13087.5,22782.34,9694.84,2.35,16.651,23.98,-410.66,399,387,3.3
52.5,21.0,807,529,278,0.6555,13085.6,22890.8,9805.2,2.335,16.215,23.98,-407.24,409,398,2.8
60.0,24.0,798,531,267,0.6654,13084.08,22830.79,9746.71,2.342,16.396,23.98,-279.72,403,395,3.0
42.5,17.0,808,521,287,0.6448,13079.84,22633.72,9553.88,2.369,16.188,23.98,-347.24,409,399,2.6
50.0,20.0,808,526,282,0.651,13059.0,22793.34,9734.34,2.342,16.162,23.98,-392.24,409,399,2.7
47.5,19.0,808,523,285,0.6473,13053.88,22717.48,9663.61,2.351,16.156,23.98,-377.24,409,399,2.7
75.0,30.0,786,533,253,0.6781,13040.14,22830.38,9790.24,2.332,16.591,23.98,-430.66,399,387,3.3
57.5,23.0,803,531,272,0.6613,13022.1,22923.75,9901.65,2.315,16.217,23.98,-276.26,407,396,2.9
87.5,35.0,776,532,244,0.6856,13018.13,22611.89,9593.76,2.357,16.776,23.98,-533.75,395,381,3.7
45.0,18.0,808,522,286,0.646,12940.36,22662.02,9721.66,2.331,16.015,23.98,-362.24,409,399,2.6
90.0,36.0,776,532,244,0.6856,12838.14,22611.89,9773.75,2.314,16.544,23.98,-551.25,395,381,3.8
17.5,7.0,812,474,338,0.5837,12799.2,21042.14,8242.94,2.553,15.763,23.98,-197.97,409,403,1.8
92.5,37.0,774,532,242,0.6873,12777.59,22611.89,9834.3,2.299,16.509,23.98,-568.74,394,380,3.9
97.5,39.0,771,533,238,0.6913,12736.62,22481.92,9745.3,2.307,16.52,23.98,-560.82,392,379,4.1
40.0,16.0,811,518,293,0.6387,12650.7,22326.9,9676.2,2.307,15.599,23.98,-332.24,412,399,2.5
37.5,15.0,812,513,299,0.6318,12642.23,22261.9,9619.67,2.314,15.569,23.98,-317.24,412,400,2.4
20.0,8.0,813,479,334,0.5892,12641.11,21193.57,8552.46,2.478,15.549,23.98,-217.98,409,404,1.9
95.0,38.0,773,532,241,0.6882,12595.25,22498.61,9903.36,2.272,16.294,23.98,-586.24,393,380,4.0
35.0,14.0,816,512,304,0.6275,12570.81,22248.16,9677.35,2.299,15.405,23.98,-302.24,413,403,2.3
100.0,40.0,770,532,238,0.6909,12545.14,22457.94,9912.79,2.266,16.292,23.98,-573.31,391,379,4.3
32.5,13.0,817,507,310,0.6206,12418.08,22162.67,9744.59,2.274,15.2,23.98,-287.24,413,404,2.2
22.5,9.0,816,483,333,0.5919,12336.79,21299.46,8962.67,2.376,15.119,23.98,-241.47,411,405,2.0
25.0,10.0,817,489,328,0.5985,12250.25,21480.38,9230.13,2.327,14.994,23.98,-244.01,412,405,2.0
30.0,12.0,817,499,318,0.6108,12069.14,21788.08,9718.94,2.242,14.773,23.98,-309.47,411,406,2.1
27.5,11.0,817,492,325,0.6022,12041.06,21610.67,9569.6,2.258,14.738,23.98,-264.0,412,405,2.1
