sl_zec_usdt,sl_baseline,n,wins,losses,win_rate,net_pnl,gross_win,gross_loss,profit_factor,avg_trade,median_trade,max_dd,long_n,short_n,avg_dur_bars
82.5,33.0,971,689,282,0.7096,19389.33,30148.92,10759.59,2.802,19.968,23.98,-354.1,491,480,3.3
85.0,34.0,971,689,282,0.7096,19263.12,30148.92,10885.79,2.77,19.838,23.98,-364.1,491,480,3.4
77.5,31.0,976,688,288,0.7049,19148.91,30109.49,10960.59,2.747,19.62,23.98,-372.79,495,481,3.2
42.5,17.0,992,666,326,0.6714,19050.91,29630.37,10579.46,2.801,19.205,23.98,-215.87,503,489,2.4
80.0,32.0,973,687,286,0.7061,19043.22,30085.55,11042.33,2.725,19.572,23.98,-344.09,493,480,3.2
90.0,36.0,968,689,279,0.7118,19012.02,30004.88,10992.86,2.729,19.641,24.0,-327.09,490,478,3.4
45.0,18.0,992,669,323,0.6744,18982.76,29706.71,10723.95,2.77,19.136,23.98,-226.52,503,489,2.5
87.5,35.0,968,687,281,0.7097,18945.15,29938.64,10993.5,2.723,19.571,23.98,-329.83,490,478,3.4
65.0,26.0,980,682,298,0.6959,18901.71,29907.06,11005.35,2.718,19.287,23.98,-316.54,497,483,2.9
47.5,19.0,990,669,321,0.6758,18897.17,29698.25,10801.07,2.75,19.088,23.98,-237.77,503,487,2.5
55.0,22.0,987,677,310,0.6859,18893.47,29850.84,10957.37,2.724,19.142,23.98,-271.53,502,485,2.7
92.5,37.0,966,688,278,0.7122,18892.84,29980.9,11088.06,2.704,19.558,24.02,-323.59,489,477,3.5
75.0,30.0,976,685,291,0.7018,18791.56,30013.93,11222.37,2.674,19.254,23.98,-361.54,495,481,3.0
72.5,29.0,977,684,293,0.7001,18787.09,29955.16,11168.07,2.682,19.229,23.98,-350.29,495,482,3.0
62.5,25.0,982,680,302,0.6925,18782.65,29897.0,11114.35,2.69,19.127,23.98,-305.28,497,485,2.8
97.5,39.0,960,686,274,0.7146,18749.32,29790.77,11041.45,2.698,19.531,24.02,-343.6,486,474,3.7
52.5,21.0,988,673,315,0.6812,18739.29,29820.46,11081.16,2.691,18.967,23.98,-260.28,502,486,2.6
67.5,27.0,978,681,297,0.6963,18689.23,29849.91,11160.68,2.675,19.11,23.98,-327.79,495,483,2.9
60.0,24.0,985,678,307,0.6883,18664.25,29813.73,11149.47,2.674,18.948,23.98,-294.03,499,486,2.8
70.0,28.0,978,682,296,0.6973,18635.33,29873.89,11238.56,2.658,19.055,23.98,-339.04,495,483,2.9
95.0,38.0,965,687,278,0.7119,18575.56,29862.37,11286.81,2.646,19.249,24.02,-333.6,488,477,3.6
57.5,23.0,988,677,311,0.6852,18571.72,29882.67,11310.94,2.642,18.797,23.98,-282.78,501,487,2.7
50.0,20.0,988,667,321,0.6751,18551.64,29650.25,11098.61,2.672,18.777,23.98,-249.03,502,486,2.6
40.0,16.0,993,661,332,0.6657,18512.4,29220.39,10707.99,2.729,18.643,23.98,-244.0,504,489,2.3
100.0,40.0,958,684,274,0.714,18499.06,29729.26,11230.2,2.647,19.31,24.02,-377.58,485,473,3.8
15.0,6.0,992,598,394,0.6028,18341.03,27323.57,8982.54,3.042,18.489,23.98,-170.92,504,488,1.6
37.5,15.0,993,653,340,0.6576,18204.31,29052.7,10848.39,2.678,18.333,23.98,-232.51,505,488,2.2
20.0,8.0,993,611,382,0.6153,18059.27,27722.18,9662.9,2.869,18.187,23.98,-172.73,504,489,1.8
17.5,7.0,992,603,389,0.6079,18039.11,27497.92,9458.81,2.907,18.185,23.98,-156.49,504,488,1.7
35.0,14.0,995,648,347,0.6513,17967.22,28902.72,10935.51,2.643,18.058,23.98,-225.55,506,489,2.2
22.5,9.0,994,618,376,0.6217,17871.11,27866.81,9995.7,2.788,17.979,23.98,-188.98,505,489,1.9
32.5,13.0,995,641,354,0.6442,17557.75,28582.7,11024.95,2.593,17.646,23.98,-210.02,506,489,2.1
25.0,10.0,994,620,374,0.6237,17492.08,27886.98,10394.89,2.683,17.598,23.98,-177.51,506,488,1.9
30.0,12.0,995,636,359,0.6392,17468.41,28307.13,10838.72,2.612,17.556,23.98,-210.0,506,489,2.0
27.5,11.0,994,626,368,0.6298,17372.9,28089.28,10716.38,2.621,17.478,23.98,-193.76,506,488,2.0
