symbol,action,signal_price,created_at,status,filled_at,fill_price,era
ZEC-USDT,buy,378.8,2026-04-10 18:17:59.821509+00:00,filled,2026-04-10 18:25:22.104525+00:00,375.98,v1
SOL-USDT,sell,84.99,2026-04-10 21:14:02.917871+00:00,filled,2026-04-10 21:38:04.956922+00:00,85.1,v1
ZEC-USDT,sell,377.1,2026-04-10 21:44:01.299419+00:00,filled,2026-04-10 21:56:18.052889+00:00,379.38,v1
SOL-USDT,buy,84.86,2026-04-11 02:32:04.632921+00:00,filled,2026-04-11 02:47:43.024019+00:00,84.69,v1
ZEC-USDT,buy,373.29,2026-04-11 04:10:59.770689+00:00,filled,2026-04-11 04:15:51.933714+00:00,370.81,v1
ZEC-USDT,buy,372.0,2026-04-11 05:30:59.579848+00:00,expired,,,v1
ZEC-USDT,sell,371.46,2026-04-11 07:38:01.904967+00:00,filled,2026-04-11 07:55:19.648615+00:00,372.02,v1
ZEC-USDT,buy,374.72,2026-04-11 08:07:59.382269+00:00,expired,,,v1
SOL-USDT,buy,84.29,2026-04-11 08:11:04.021820+00:00,expired,,,v1
SOL-USDT,sell,84.18,2026-04-11 10:13:02.664606+00:00,expired,,,v1
ZEC-USDT,sell,373.94,2026-04-11 10:36:01.308877+00:00,cancelled,,,v1
ZEC-USDT,sell,373.81,2026-04-11 10:53:01.273896+00:00,filled,2026-04-11 11:05:51.686148+00:00,375.98,v1
ZEC-USDT,sell,373.35,2026-04-11 11:38:01.510382+00:00,expired,,,v1
SOL-USDT,buy,84.18,2026-04-11 12:35:03.966281+00:00,filled,2026-04-11 12:52:25.406552+00:00,84.18,v1
SOL-USDT,sell,83.8,2026-04-11 13:12:02.588630+00:00,expired,,,v1
ZEC-USDT,buy,373.24,2026-04-11 15:21:59.562343+00:00,cancelled,,,v1
ZEC-USDT,buy,373.55,2026-04-11 15:32:59.259842+00:00,expired,,,v1
SOL-USDT,sell,84.67,2026-04-11 18:05:02.829714+00:00,filled,2026-04-11 18:17:55.193950+00:00,84.78,v1
ZEC-USDT,sell,375.87,2026-04-11 18:12:01.332298+00:00,filled,2026-04-11 18:24:34.335277+00:00,377.11,v1
SOL-USDT,buy,84.86,2026-04-11 18:20:03.940017+00:00,expired,,,v1
ZEC-USDT,sell,374.83,2026-04-11 19:13:01.587381+00:00,filled,2026-04-11 19:41:09.557366+00:00,374.74,v1
SOL-USDT,sell,86.13,2026-04-11 19:31:02.413328+00:00,cancelled,,,v1
