symbol,entry_timing,sl_atr,tp_ladder,ratios,be_after_tp1,blofin_n,blofin_net,blofin_pf,blofin_dd,blofin_wr,blofin_oos_net,blofin_oos_pf,lighter_n,lighter_net,lighter_pf,lighter_dd,lighter_wr,lighter_oos_net,lighter_oos_pf,tp1_rate,tp3_rate
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,413,-4991.53,0.172,-4995.13,0.23,-1588.06,0.162,413,-1274.57,0.655,-1437.45,0.5254,-472.21,0.601,0.538,0.167
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",True,113,-1227.02,0.213,-1242.51,0.292,-344.63,0.215,113,-210.01,0.789,-316.47,0.5841,-38.6,0.855,0.593,0.168
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,388,-4471.52,0.234,-4480.01,0.2938,-1476.43,0.197,388,-979.57,0.73,-1146.22,0.4201,-423.61,0.63,0.549,0.271
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.25, 0.25)",False,110,-1208.86,0.269,-1224.35,0.2909,-330.85,0.3,110,-218.9,0.793,-346.39,0.4455,-33.9,0.881,0.582,0.255
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,413,-5007.84,0.203,-5018.17,0.2252,-1570.22,0.196,413,-1290.89,0.652,-1469.36,0.46,-454.37,0.617,0.538,0.167
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",True,113,-1234.19,0.245,-1259.6,0.2743,-357.92,0.238,113,-217.19,0.782,-346.66,0.5575,-51.9,0.806,0.593,0.168
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,388,-4440.38,0.278,-4457.81,0.2784,-1467.13,0.239,388,-948.45,0.755,-1139.6,0.4201,-414.31,0.656,0.549,0.271
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.34, 0.33, 0.33)",False,110,-1206.79,0.313,-1234.31,0.2727,-346.28,0.335,110,-216.85,0.808,-374.08,0.4455,-49.35,0.847,0.582,0.255
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,413,-4981.33,0.155,-4980.73,0.2567,-1599.21,0.141,413,-1264.37,0.657,-1417.51,0.5375,-483.36,0.592,0.538,0.167
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",True,113,-1222.54,0.194,-1231.84,0.3097,-336.32,0.2,113,-205.52,0.793,-297.6,0.5929,-30.29,0.887,0.593,0.168
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,388,-4490.99,0.205,-4493.88,0.2938,-1482.25,0.169,388,-999.02,0.712,-1153.16,0.4201,-429.42,0.612,0.549,0.271
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.6, 0.2, 0.2)",False,110,-1210.16,0.241,-1219.45,0.3091,-321.21,0.276,110,-220.18,0.782,-329.09,0.4455,-24.24,0.908,0.582,0.255
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,439,-5239.76,0.113,-5222.34,0.3349,-1757.4,0.075,439,-1288.77,0.67,-1366.14,0.5376,-569.61,0.549,0.538,0.025
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",True,113,-1204.61,0.157,-1189.12,0.4779,-303.07,0.211,113,-187.56,0.811,-264.0,0.5929,2.96,1.011,0.593,0.0
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,439,-5239.76,0.113,-5222.34,0.3349,-1757.4,0.075,439,-1288.77,0.67,-1366.14,0.5376,-569.61,0.549,0.538,0.025
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(1.0, 0.0, 0.0)",False,113,-1204.61,0.157,-1189.12,0.4779,-303.07,0.211,113,-187.56,0.811,-264.0,0.5929,2.96,1.011,0.593,0.0
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,425,-5095.09,0.17,-5088.18,0.28,-1663.51,0.146,425,-1270.18,0.664,-1408.34,0.5271,-511.74,0.583,0.539,0.038
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",True,113,-1186.18,0.235,-1190.27,0.3363,-332.46,0.241,113,-169.12,0.83,-250.83,0.5841,-26.43,0.901,0.593,0.0
SOL-USDT,signal,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,424,-4973.57,0.211,-4968.08,0.3679,-1652.25,0.167,424,-1157.63,0.711,-1331.83,0.4057,-500.47,0.61,0.538,0.042
SOL-USDT,retest,1.0,"(0.75, 1.5, 3.0)","(0.5, 0.5, 0.0)",False,113,-1114.43,0.306,-1118.53,0.4425,-325.88,0.317,113,-97.41,0.908,-209.33,0.4602,-19.9,0.933,0.593,0.009
SOL-USDT,signal,1.0,"(1.0, 2.0, 3.0)","(0.5, 0.25, 0.25)",True,412,-4950.19,0.225,-4968.0,0.2816,-1529.87,0.218,412,-1242.38,0.698,-1438.68,0.4806,-414.01,0.67,0.483,0.182
