symbol,timing,sl_atr,rr,lighter_n,lighter_net,lighter_pf,lighter_wr,lighter_dd,lighter_avg,lighter_oos_net,lighter_oos_pf,blofin_n,blofin_net,blofin_pf,blofin_wr,blofin_dd,blofin_avg,blofin_oos_net,blofin_oos_pf
SOL-USDT,retest,2.5,1.0,100,179.0,1.09,0.52,-311.0,1.79,163.0,1.27,100,-721.0,0.71,0.52,-847.0,-7.21,-107.0,0.85
SOL-USDT,retest,2.5,1.5,90,-287.0,0.88,0.389,-703.0,-3.19,-22.0,0.97,90,-1097.0,0.63,0.389,-1311.0,-12.19,-274.0,0.71
SOL-USDT,retest,2.5,2.0,84,-351.0,0.86,0.309,-1034.0,-4.18,-10.0,0.99,84,-1106.0,0.64,0.309,-1512.0,-13.17,-244.0,0.75
SOL-USDT,retest,2.5,2.5,80,-27.0,0.99,0.287,-932.0,-0.33,253.0,1.34,80,-746.0,0.76,0.287,-1463.0,-9.32,37.0,1.04
SOL-USDT,retest,2.5,3.0,71,-591.0,0.77,0.197,-1202.0,-8.32,99.0,1.13,71,-1229.0,0.6,0.197,-1588.0,-17.31,-99.0,0.89
SOL-USDT,retest,3.0,1.0,91,28.0,1.01,0.505,-338.0,0.31,33.0,1.04,91,-790.0,0.71,0.505,-946.0,-8.68,-219.0,0.75
SOL-USDT,retest,3.0,1.5,80,-219.0,0.92,0.388,-840.0,-2.74,288.0,1.42,80,-939.0,0.69,0.388,-1326.0,-11.73,72.0,1.09
SOL-USDT,retest,3.0,2.0,77,5.0,1.0,0.338,-880.0,0.06,426.0,1.58,77,-688.0,0.78,0.338,-1289.0,-8.93,210.0,1.24
SOL-USDT,retest,3.0,2.5,66,-481.0,0.82,0.242,-1244.0,-7.29,448.0,1.68,66,-1075.0,0.66,0.242,-1559.0,-16.28,268.0,1.35
SOL-USDT,retest,3.0,3.0,62,-92.0,0.96,0.242,-1132.0,-1.49,584.0,1.89,62,-650.0,0.78,0.242,-1438.0,-10.48,413.0,1.54
SOL-USDT,retest,3.5,1.0,84,-230.0,0.91,0.476,-764.0,-2.74,212.0,1.29,84,-986.0,0.67,0.476,-1188.0,-11.74,-22.0,0.97
SOL-USDT,retest,3.5,1.5,75,-77.0,0.97,0.387,-865.0,-1.03,307.0,1.4,75,-752.0,0.76,0.387,-1222.0,-10.02,101.0,1.11
SOL-USDT,retest,3.5,2.0,66,-265.0,0.91,0.303,-1002.0,-4.01,152.0,1.18,66,-858.0,0.73,0.303,-1317.0,-13.01,-28.0,0.97
SOL-USDT,retest,3.5,2.5,57,-170.0,0.93,0.263,-1140.0,-2.98,582.0,1.82,57,-683.0,0.77,0.263,-1428.0,-11.98,421.0,1.52
SOL-USDT,retest,3.5,3.0,56,-571.0,0.79,0.232,-1190.0,-10.2,380.0,1.54,56,-1075.0,0.65,0.232,-1514.0,-19.2,227.0,1.28
SOL-USDT,retest,4.0,1.0,75,365.0,1.15,0.547,-626.0,4.87,661.0,2.27,75,-310.0,0.89,0.547,-1067.0,-4.13,454.0,1.77
SOL-USDT,retest,4.0,1.5,69,660.0,1.26,0.449,-470.0,9.56,599.0,1.91,69,39.0,1.01,0.449,-797.0,0.56,410.0,1.54
SOL-USDT,retest,4.0,2.0,53,146.0,1.06,0.34,-634.0,2.75,196.0,1.29,53,-331.0,0.88,0.34,-844.0,-6.25,52.0,1.07
SOL-USDT,retest,4.0,2.5,53,-99.0,0.96,0.302,-618.0,-1.87,269.0,1.4,53,-576.0,0.8,0.302,-887.0,-10.87,125.0,1.16
SOL-USDT,retest,4.0,3.0,50,-479.0,0.81,0.26,-974.0,-9.58,156.0,1.24,50,-929.0,0.68,0.26,-1308.0,-18.59,21.0,1.03
SOL-USDT,signal,2.5,1.0,299,314.0,1.05,0.518,-1126.0,1.05,-674.0,0.68,299,-2377.0,0.66,0.518,-2579.0,-7.95,-1484.0,0.42
SOL-USDT,signal,2.5,1.5,255,-574.0,0.91,0.396,-1556.0,-2.25,-961.0,0.57,255,-2868.0,0.63,0.396,-3138.0,-11.25,-1654.0,0.4
SOL-USDT,signal,2.5,2.0,207,90.0,1.02,0.348,-1178.0,0.43,-572.0,0.71,207,-1773.0,0.74,0.348,-2286.0,-8.56,-1139.0,0.52
SOL-USDT,signal,2.5,2.5,194,132.0,1.02,0.299,-1351.0,0.68,-416.0,0.78,194,-1614.0,0.77,0.299,-2341.0,-8.32,-947.0,0.59
SOL-USDT,signal,2.5,3.0,158,-77.0,0.98,0.26,-1405.0,-0.49,-511.0,0.68,158,-1499.0,0.75,0.26,-2469.0,-9.49,-943.0,0.52
SOL-USDT,signal,3.0,1.0,249,-320.0,0.95,0.498,-1442.0,-1.29,-190.0,0.9,249,-2561.0,0.65,0.494,-2968.0,-10.28,-864.0,0.62
SOL-USDT,signal,3.0,1.5,202,-348.0,0.94,0.396,-1454.0,-1.72,-421.0,0.79,202,-2165.0,0.7,0.391,-2609.0,-10.72,-970.0,0.59
SOL-USDT,signal,3.0,2.0,179,-67.0,0.99,0.341,-1297.0,-0.38,-56.0,0.97,179,-1678.0,0.76,0.335,-2378.0,-9.37,-542.0,0.75
SOL-USDT,signal,3.0,2.5,153,-759.0,0.87,0.281,-1461.0,-4.96,-595.0,0.67,153,-2135.0,0.68,0.275,-2533.0,-13.96,-1009.0,0.52
SOL-USDT,signal,3.0,3.0,141,-555.0,0.9,0.27,-1172.0,-3.94,-382.0,0.78,141,-1824.0,0.71,0.255,-2054.0,-12.94,-769.0,0.62
SOL-USDT,signal,3.5,1.0,194,504.0,1.1,0.521,-569.0,2.6,-223.0,0.87,194,-1242.0,0.79,0.515,-1559.0,-6.4,-754.0,0.63
SOL-USDT,signal,3.5,1.5,153,786.0,1.16,0.431,-562.0,5.13,391.0,1.28,153,-592.0,0.9,0.425,-1076.0,-3.87,-23.0,0.99
SOL-USDT,signal,3.5,2.0,128,978.0,1.22,0.391,-614.0,7.64,-32.0,0.98,128,-174.0,0.97,0.391,-884.0,-1.36,-383.0,0.76
SOL-USDT,signal,3.5,2.5,118,891.0,1.2,0.331,-484.0,7.55,385.0,1.31,118,-171.0,0.97,0.314,-764.0,-1.45,61.0,1.04
SOL-USDT,signal,3.5,3.0,108,308.0,1.07,0.296,-620.0,2.86,-43.0,0.97,108,-663.0,0.87,0.278,-1009.0,-6.14,-340.0,0.78
SOL-USDT,signal,4.0,1.0,166,940.0,1.19,0.548,-524.0,5.66,-115.0,0.93,166,-554.0,0.9,0.542,-963.0,-3.33,-565.0,0.71
SOL-USDT,signal,4.0,1.5,136,1211.0,1.25,0.456,-519.0,8.9,487.0,1.35,136,-13.0,1.0,0.449,-829.0,-0.1,118.0,1.07
SOL-USDT,signal,4.0,2.0,109,329.0,1.07,0.376,-620.0,3.02,-46.0,0.96,109,-652.0,0.87,0.358,-941.0,-5.98,-342.0,0.77
SOL-USDT,signal,4.0,2.5,95,893.0,1.23,0.368,-503.0,9.4,233.0,1.2,95,39.0,1.01,0.347,-846.0,0.41,-27.0,0.98
SOL-USDT,signal,4.0,3.0,94,1291.0,1.35,0.362,-512.0,13.73,559.0,1.55,94,445.0,1.1,0.34,-756.0,4.73,298.0,1.25
