sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
60.0,0.09,None,True,1925,1144,781,0.5943,8356.82,42575.35,34218.54,1.244,37.22,-43.81,4.341,-1632.95,-81.65,9,-541.54,7785.37,1.344,571.45,1.049,578,1925,1145,780,0.5948,25683.36,52874.61,27191.25,1.945,46.18,-34.86,13.342,-810.96,-40.55,9,-460.5,19908.63,2.111,5774.72,1.623,578,93.57,67.48
60.0,0.09,None,False,2243,1330,913,0.593,9692.5,49592.92,39900.42,1.243,37.29,-43.7,4.321,-2056.64,-102.83,9,-541.54,9130.78,1.343,561.72,1.042,673,2243,1331,912,0.5934,29881.01,61566.26,31685.25,1.943,46.26,-34.74,13.322,-825.07,-41.25,9,-460.5,23261.1,2.104,6619.91,1.624,673,93.35,66.6
60.0,0.09,"(0.3, 0.5)",True,1626,987,639,0.607,9720.19,37821.98,28101.78,1.346,38.32,-43.98,5.978,-1407.53,-70.38,8,-468.0,7807.2,1.412,1913.0,1.209,488,1626,988,638,0.6076,24356.09,46708.34,22352.25,2.09,47.28,-35.03,14.979,-715.2,-35.76,8,-396.0,18049.99,2.204,6306.1,1.857,488,96.97,78.59
60.0,0.09,"(0.3, 0.5)",False,1893,1140,753,0.6022,11260.95,43961.7,32700.75,1.344,38.56,-43.43,5.949,-1544.38,-77.22,8,-468.0,8959.65,1.401,2301.31,1.223,568,1893,1141,752,0.6027,28299.8,54225.05,25925.25,2.092,47.52,-34.48,14.95,-628.88,-31.44,8,-396.0,20885.4,2.18,7414.4,1.901,568,97.24,79.13
60.0,0.09,"(0.2, 0.5)",True,1453,890,563,0.6125,10219.76,34865.6,24645.84,1.415,39.17,-43.78,7.034,-1417.36,-70.87,7,-394.46,8154.33,1.493,2065.43,1.255,436,1453,891,562,0.6132,23298.61,42878.86,19580.25,2.19,48.12,-34.84,16.035,-778.6,-38.93,7,-331.5,17307.93,2.321,5990.68,1.924,436,96.81,80.39
60.0,0.09,"(0.2, 0.5)",False,1693,1033,660,0.6102,12259.22,40734.64,28475.42,1.431,39.43,-43.14,7.241,-1482.95,-74.15,7,-394.46,9737.04,1.502,2522.18,1.277,508,1693,1034,659,0.6108,27498.1,50034.85,22536.75,2.22,48.39,-34.2,16.242,-687.78,-34.39,7,-331.5,20402.68,2.331,7095.42,1.984,508,96.95,81.13
60.0,0.09,"(0.3, 0.6)",True,1464,909,555,0.6209,10788.99,34846.88,24057.89,1.448,38.34,-43.35,7.37,-934.72,-46.74,8,-408.04,8351.84,1.513,2437.15,1.313,440,1464,910,554,0.6216,23966.85,43031.1,19064.25,2.257,47.29,-34.41,16.371,-559.2,-27.96,8,-336.0,17568.6,2.365,6398.25,2.033,440,97.56,83.15
60.0,0.09,"(0.3, 0.6)",False,1706,1051,655,0.6161,12271.64,40379.49,28107.85,1.437,38.42,-42.91,7.193,-911.37,-45.57,8,-408.04,9429.36,1.489,2842.28,1.322,512,1706,1052,654,0.6166,27627.16,49841.41,22214.25,2.244,47.38,-33.97,16.194,-472.88,-23.64,8,-336.0,20175.76,2.325,7451.4,2.067,512,97.81,83.44
60.0,0.12,None,True,1489,936,553,0.6286,12631.31,35791.84,23160.53,1.545,38.24,-41.88,8.483,-930.8,-46.54,9,-421.38,10654.4,1.698,1976.91,1.25,447,1489,937,552,0.6293,26033.43,44218.68,18185.25,2.432,47.19,-32.94,17.484,-372.0,-18.6,9,-340.5,20032.97,2.685,6000.46,1.953,447,95.22,80.6
60.0,0.12,None,False,1721,1081,640,0.6281,15162.51,41777.85,26615.34,1.57,38.65,-41.59,8.81,-796.39,-39.82,9,-421.38,12836.43,1.728,2326.08,1.259,517,1721,1082,639,0.6287,30653.03,51509.78,20856.75,2.47,47.61,-32.64,17.811,-372.0,-18.6,9,-340.5,23673.54,2.72,6979.48,1.984,517,95.06,81.1
60.0,0.12,"(0.3, 0.5)",True,1252,800,452,0.639,12437.57,31534.82,19097.25,1.651,39.42,-42.25,9.934,-711.94,-35.6,8,-347.92,9767.39,1.761,2670.18,1.426,376,1252,801,451,0.6398,23707.2,38737.95,15030.75,2.577,48.36,-33.33,18.935,-307.5,-15.38,8,-276.0,17652.64,2.758,6054.56,2.214,376,96.9,86.76
60.0,0.12,"(0.3, 0.5)",False,1446,921,525,0.6369,15025.99,36788.96,21762.98,1.69,39.94,-41.45,10.391,-564.08,-28.2,8,-347.92,12127.48,1.835,2898.51,1.401,434,1446,922,524,0.6376,28041.85,45081.1,17039.25,2.646,48.89,-32.52,19.393,-354.0,-17.7,8,-276.0,21237.0,2.875,6804.85,2.192,434,96.05,86.28
60.0,0.12,"(0.2, 0.5)",True,1128,724,404,0.6418,12154.56,29253.78,17099.22,1.711,40.41,-42.32,10.775,-771.33,-38.57,8,-347.92,9561.62,1.835,2592.93,1.459,339,1128,725,403,0.6427,22308.21,35772.96,13464.75,2.657,49.34,-33.41,19.777,-333.32,-16.67,8,-276.0,16663.68,2.859,5644.53,2.254,339,96.72,87.81
60.0,0.12,"(0.2, 0.5)",False,1305,839,466,0.6429,14971.19,34347.65,19376.46,1.773,40.94,-41.58,11.472,-609.97,-30.5,8,-347.92,12054.16,1.931,2917.03,1.453,392,1305,840,465,0.6437,26717.98,41901.73,15183.75,2.76,49.88,-32.65,20.474,-354.0,-17.7,8,-276.0,20272.32,3.007,6445.67,2.268,392,95.95,88.04
60.0,0.12,"(0.3, 0.6)",True,1126,737,389,0.6545,12862.9,29099.53,16236.64,1.792,39.48,-41.74,11.424,-428.53,-21.43,8,-347.92,10057.23,1.925,2805.66,1.523,338,1126,738,388,0.6554,22998.24,35735.49,12737.25,2.806,48.42,-32.83,20.425,-307.5,-15.38,8,-276.0,17150.1,3.015,5848.14,2.384,338,96.82,90.05
60.0,0.12,"(0.3, 0.6)",False,1301,844,457,0.6487,14754.17,33589.04,18834.87,1.783,39.8,-41.21,11.341,-412.38,-20.62,8,-347.92,11558.49,1.91,3195.68,1.521,391,1301,845,456,0.6495,26464.55,41187.8,14723.25,2.797,48.74,-32.29,20.342,-307.5,-15.38,8,-276.0,19749.43,2.991,6715.12,2.397,391,96.8,89.82
60.0,0.15,None,True,1130,736,394,0.6513,13787.12,29581.25,15794.13,1.873,40.19,-40.09,12.201,-555.38,-27.77,9,-361.34,11241.9,2.086,2545.21,1.468,339,1130,737,393,0.6522,23957.9,36207.65,12249.75,2.956,49.13,-31.17,21.202,-315.46,-15.77,9,-280.5,18361.29,3.313,5596.6,2.298,339,95.44,89.36
60.0,0.15,None,False,1297,844,453,0.6507,16137.44,34168.39,18030.95,1.895,40.48,-39.8,12.442,-484.97,-24.25,9,-361.34,13151.11,2.109,2986.33,1.484,390,1297,845,452,0.6515,27811.87,41767.12,13955.25,2.993,49.43,-30.87,21.443,-315.46,-15.77,9,-280.5,21315.09,3.337,6496.79,2.343,390,95.46,89.94
60.0,0.15,"(0.3, 0.5)",True,950,626,324,0.6589,13087.0,26196.2,13109.2,1.998,41.85,-40.46,13.776,-397.07,-19.85,7,-307.43,10384.72,2.202,2702.28,1.605,285,950,627,323,0.66,21637.99,31832.74,10194.75,3.122,50.77,-31.56,22.777,-316.22,-15.81,7,-262.5,16370.51,3.463,5267.48,2.484,285,96.08,93.42
60.0,0.15,"(0.3, 0.5)",False,1091,715,376,0.6554,15284.94,30236.33,14951.39,2.022,42.29,-39.76,14.01,-415.72,-20.79,7,-307.43,12165.54,2.235,3119.39,1.612,328,1091,716,375,0.6563,25105.4,36674.15,11568.75,3.17,51.22,-30.85,23.011,-316.22,-15.81,7,-262.5,19033.73,3.514,6071.67,2.518,328,96.0,93.33
60.0,0.15,"(0.2, 0.5)",True,852,568,284,0.6667,13045.07,24564.35,11519.28,2.132,43.25,-40.56,15.311,-397.07,-19.85,7,-307.43,10156.19,2.318,2888.88,1.758,256,852,569,283,0.6678,20714.41,29679.16,8964.75,3.311,52.16,-31.68,24.313,-316.22,-15.81,7,-262.5,15521.01,3.607,5193.4,2.725,256,96.56,94.46
60.0,0.15,"(0.2, 0.5)",False,983,654,329,0.6653,15433.61,28520.63,13087.02,2.179,43.61,-39.78,15.701,-418.84,-20.94,7,-307.43,12155.56,2.402,3278.05,1.743,295,983,655,328,0.6663,24282.43,34409.68,10127.25,3.398,52.53,-30.88,24.702,-316.22,-15.81,7,-262.5,18348.79,3.749,5933.63,2.719,295,96.16,93.89
60.0,0.15,"(0.3, 0.6)",True,856,575,281,0.6717,12694.2,24052.71,11358.52,2.118,41.83,-40.42,14.83,-331.83,-16.59,7,-274.38,9903.66,2.317,2790.53,1.726,257,856,576,280,0.6729,20398.73,29229.98,8831.25,3.31,50.75,-31.54,23.83,-234.0,-11.7,7,-211.5,15294.96,3.641,5103.77,2.679,257,96.57,94.39
60.0,0.15,"(0.3, 0.6)",False,983,652,331,0.6633,14219.05,27452.73,13233.68,2.074,42.11,-39.98,14.465,-415.72,-20.79,7,-274.38,11091.91,2.26,3127.14,1.706,295,983,653,330,0.6643,23066.75,33323.0,10256.25,3.249,51.03,-31.08,23.466,-279.06,-13.95,7,-211.5,17284.32,3.55,5782.42,2.663,295,96.59,94.37
60.0,0.18,None,True,841,576,265,0.6849,13599.45,24142.19,10542.74,2.29,41.91,-39.78,16.171,-347.84,-17.39,8,-347.84,10409.9,2.448,3189.54,1.951,253,841,577,264,0.6861,21168.87,29328.12,8159.25,3.594,50.83,-30.91,25.171,-276.0,-13.8,8,-276.0,15702.25,3.824,5466.62,3.104,253,97.09,95.38
60.0,0.18,None,False,951,648,303,0.6814,15419.03,27374.97,11955.94,2.29,42.25,-39.46,16.213,-347.84,-17.39,8,-347.84,11864.56,2.449,3554.46,1.943,286,951,649,302,0.6824,23978.66,33208.91,9230.25,3.598,51.17,-30.56,25.214,-276.0,-13.8,8,-276.0,17850.0,3.818,6128.66,3.116,286,96.92,95.14
60.0,0.18,"(0.3, 0.5)",True,712,493,219,0.6924,12893.36,21555.25,8661.89,2.489,43.72,-39.55,18.109,-323.61,-16.18,6,-260.88,9837.02,2.683,3056.34,2.084,214,712,494,218,0.6938,19302.15,25994.4,6692.25,3.884,52.62,-30.7,27.11,-251.72,-12.59,6,-207.0,14319.76,4.173,4982.4,3.286,214,97.08,95.55
60.0,0.18,"(0.3, 0.5)",False,806,553,253,0.6861,14633.62,24474.66,9841.04,2.487,44.26,-38.9,18.156,-344.53,-17.23,6,-260.88,11186.49,2.671,3447.13,2.095,242,806,554,252,0.6873,21888.64,29453.89,7565.25,3.893,53.17,-30.02,27.157,-251.72,-12.59,6,-207.0,16263.37,4.154,5625.27,3.335,242,97.02,95.47
