score_lighter,score_blofin,sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,lighter_n,lighter_net_pnl,lighter_profit_factor,lighter_max_dd,lighter_win_rate,lighter_oos_net_pnl,lighter_oos_pf,blofin_net_pnl,blofin_profit_factor,blofin_max_dd
99.82,87.38,85.0,0.09,"(0.3, 0.6)",False,1636,26565.97,2.137,-475.5,0.6436,8061.84,2.181,11839.9,1.414,-1069.36
99.79,99.65,90.0,0.21,"(0.3, 0.5)",False,570,17668.81,4.221,-378.0,0.7211,5304.52,5.35,12538.09,2.813,-440.68
99.78,99.58,95.0,0.21,"(0.3, 0.6)",True,447,14356.6,4.474,-322.25,0.7405,4329.96,5.651,10333.29,2.996,-432.95
99.78,87.01,90.0,0.09,"(0.3, 0.6)",False,1619,26120.77,2.106,-571.47,0.6479,8221.15,2.211,11547.8,1.402,-1185.46
99.78,99.64,90.0,0.21,"(0.2, 0.5)",False,532,17119.72,4.379,-378.0,0.7256,5232.35,5.371,12330.66,2.932,-440.68
99.77,99.62,90.0,0.21,"(0.3, 0.6)",False,515,16275.19,4.346,-378.0,0.7262,4970.0,6.361,11640.17,2.898,-440.68
99.77,99.61,95.0,0.21,"(0.3, 0.5)",False,567,17264.09,4.055,-398.0,0.7213,5333.5,5.185,12160.33,2.719,-470.67
99.76,99.61,95.0,0.21,"(0.2, 0.5)",False,529,16734.99,4.211,-398.0,0.7259,5092.32,5.067,11972.9,2.837,-470.67
99.76,86.97,95.0,0.09,"(0.3, 0.6)",False,1607,25916.74,2.098,-626.97,0.6515,8553.74,2.31,11451.78,1.4,-1180.76
99.76,99.55,100.0,0.21,"(0.3, 0.6)",True,446,14133.6,4.27,-342.25,0.7399,4256.96,5.384,10119.31,2.886,-457.94
99.75,91.62,120.0,0.12,"(0.3, 0.6)",True,1074,20800.69,2.394,-514.32,0.6937,6290.84,2.466,11133.37,1.623,-937.58
99.75,99.59,95.0,0.21,"(0.3, 0.6)",False,513,15985.5,4.197,-398.0,0.7271,4934.5,6.127,11368.43,2.816,-470.67
99.75,99.58,100.0,0.21,"(0.2, 0.5)",False,528,16599.49,4.104,-418.0,0.7273,5037.32,4.854,11846.49,2.783,-500.67
99.74,99.53,90.0,0.21,"(0.3, 0.6)",True,449,14606.29,4.619,-297.75,0.7394,4369.96,5.905,10565.02,3.076,-394.45
99.73,86.37,100.0,0.09,"(0.3, 0.6)",False,1599,25349.53,2.053,-686.97,0.6548,8416.37,2.271,10956.43,1.377,-1285.77
99.73,87.72,90.0,0.09,"(0.3, 0.6)",True,1389,23177.02,2.165,-627.78,0.6544,7173.2,2.188,10673.67,1.441,-1178.78
99.73,99.55,100.0,0.21,"(0.3, 0.6)",False,512,15722.5,4.006,-418.0,0.7266,4894.5,5.882,11114.45,2.713,-500.67
99.72,99.48,120.0,0.21,"(0.3, 0.6)",False,507,15323.75,3.716,-432.05,0.7357,4701.5,5.044,10760.7,2.571,-557.9
99.72,99.54,80.0,0.21,"(0.3, 0.5)",False,574,18115.85,4.505,-338.0,0.7178,5409.73,5.514,12949.09,2.954,-373.9
99.71,99.53,82.5,0.21,"(0.3, 0.5)",False,574,18018.35,4.421,-348.0,0.7178,5379.73,5.379,12851.54,2.911,-383.9
99.7,87.39,95.0,0.09,"(0.3, 0.6)",True,1380,22767.23,2.134,-678.28,0.6572,7524.05,2.309,10344.87,1.425,-1150.09
99.69,99.49,85.0,0.21,"(0.2, 0.5)",False,534,17115.16,4.419,-358.0,0.721,5108.54,5.133,12307.95,2.939,-410.68
99.68,99.46,110.0,0.21,"(0.3, 0.6)",False,508,15481.75,3.84,-494.71,0.7323,4781.5,5.417,10909.76,2.634,-584.63
99.67,99.45,100.0,0.21,"(0.3, 0.5)",False,566,17108.59,3.946,-418.0,0.7226,5109.48,4.843,12013.92,2.664,-500.67
99.67,86.91,100.0,0.09,"(0.3, 0.6)",True,1373,22360.52,2.096,-733.28,0.6606,7421.67,2.279,10001.02,1.407,-1230.1
99.65,85.64,120.0,0.09,"(0.3, 0.6)",True,1350,21374.8,2.002,-757.82,0.6704,7333.64,2.251,9222.33,1.364,-1514.52
99.62,99.29,110.0,0.21,"(0.3, 0.6)",True,444,14001.35,4.133,-382.25,0.7455,4176.96,4.974,10005.1,2.824,-507.92
99.61,86.2,110.0,0.09,"(0.3, 0.6)",True,1362,21706.91,2.04,-843.28,0.6645,6828.53,2.099,9446.36,1.378,-1280.18
99.59,99.33,85.0,0.21,"(0.3, 0.6)",False,517,16260.63,4.378,-358.0,0.7215,4831.19,5.925,11607.44,2.9,-410.68
99.59,99.29,120.0,0.21,"(0.3, 0.6)",True,443,13608.35,3.818,-432.05,0.7449,4063.96,4.593,9621.08,2.646,-557.9
99.59,99.27,90.0,0.21,None,False,664,18586.55,3.696,-382.94,0.7108,5518.77,4.407,12610.11,2.463,-486.09
99.55,85.58,110.0,0.09,"(0.3, 0.6)",False,1579,24396.07,1.994,-806.97,0.6593,7723.45,2.106,10182.96,1.347,-1385.86
99.53,85.86,120.0,0.09,"(0.3, 0.6)",False,1565,24483.63,1.992,-750.18,0.6665,8104.99,2.211,10396.33,1.354,-1271.33
99.52,92.58,100.0,0.12,"(0.3, 0.6)",True,1085,21542.41,2.524,-361.0,0.6848,6362.31,2.494,11775.88,1.684,-597.62
99.51,99.27,70.0,0.21,"(0.3, 0.5)",False,576,17753.66,4.352,-298.0,0.7049,5241.4,5.054,12568.91,2.841,-333.91
99.5,86.99,82.5,0.09,"(0.3, 0.6)",False,1643,26943.79,2.166,-460.5,0.6421,7951.56,2.165,12154.92,1.428,-1024.35
99.47,99.15,110.0,0.21,"(0.2, 0.5)",False,524,16501.24,4.019,-494.71,0.7347,4894.32,4.454,11784.36,2.754,-584.63
99.44,87.26,85.0,0.09,"(0.3, 0.6)",True,1403,23468.45,2.19,-529.16,0.65,6921.93,2.133,10839.07,1.449,-1067.69
99.44,99.19,82.5,0.21,"(0.2, 0.5)",False,536,17439.25,4.575,-348.0,0.722,5138.54,5.261,12614.12,3.028,-383.9
99.44,99.16,70.0,0.21,"(0.2, 0.5)",False,538,17159.57,4.486,-298.0,0.7082,5049.13,4.974,12316.46,2.944,-333.91
99.42,86.49,80.0,0.09,"(0.3, 0.6)",False,1651,26748.28,2.153,-412.85,0.6396,7852.02,2.138,11887.58,1.416,-979.35
99.42,99.17,80.0,0.21,"(0.2, 0.5)",False,536,17566.75,4.698,-338.0,0.722,5168.54,5.395,12741.63,3.092,-373.9
99.4,99.04,95.0,0.21,None,False,661,18206.82,3.588,-398.0,0.711,5358.73,4.161,12257.31,2.4,-446.69
99.36,98.95,110.0,0.21,None,False,656,17718.07,3.349,-461.71,0.718,5215.23,3.889,11813.79,2.283,-560.65
99.36,99.03,60.0,0.21,"(0.3, 0.5)",False,577,17918.15,4.594,-258.0,0.7019,5242.72,5.136,12724.39,2.945,-293.92
99.35,98.93,100.0,0.21,None,False,660,17986.32,3.479,-418.0,0.7121,5283.73,3.985,12045.9,2.344,-476.69
99.33,98.99,85.0,0.21,"(0.3, 0.5)",False,572,17684.25,4.272,-358.0,0.7168,5180.7,5.117,12535.37,2.827,-410.68
99.32,99.01,75.0,0.21,"(0.3, 0.5)",False,576,17919.32,4.412,-318.0,0.7101,5241.4,5.054,12734.42,2.885,-353.9
99.31,99.0,60.0,0.21,"(0.2, 0.5)",False,539,17339.06,4.772,-258.0,0.705,5061.54,5.271,12487.0,3.069,-293.92
99.31,98.99,82.5,0.21,"(0.3, 0.6)",False,519,16579.73,4.535,-348.0,0.7225,4853.69,6.064,11908.6,2.989,-383.9
