sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_lighter_net,zec_lighter_pf,zec_lighter_dd,zec_lighter_n,zec_blofin_net,zec_blofin_pf,sol_lighter_net,sol_lighter_pf,sol_lighter_dd,sol_lighter_n,sol_blofin_net,sol_blofin_pf,combined_lighter_net,combined_blofin_net,both_profitable,zec_lift,sol_lift,combined_lift,score
80,15,25,20,40,45,15.0,30299.55,6.257,-173.5,1150,19948.51,3.45,9170.31,3.649,-193.98,520,4489.32,1.942,39469.86,24437.829999999998,True,9498.86,2752.7299999999996,12251.59,86.16466
100,15,25,20,40,45,15.0,29969.4,6.035,-228.5,1142,19690.12,3.382,9127.81,3.518,-253.98,516,4482.88,1.917,39097.21,24173.0,True,9168.710000000003,2710.2299999999996,11878.940000000002,85.76534333333332
120,15,25,20,40,45,15.0,29475.33,5.585,-308.5,1138,19232.31,3.206,9144.5,3.541,-309.48,511,4544.76,1.946,38619.83,23777.07,True,8674.640000000003,2726.92,11401.560000000003,85.21963
140,15,25,20,40,45,15.0,29570.76,5.731,-344.15,1133,19372.71,3.278,8834.94,3.274,-305.69,508,4262.18,1.841,38405.7,23634.89,True,8770.07,2417.3600000000006,11187.43,84.92076666666667
80,15,25,20,55,60,15.0,29274.89,6.079,-173.5,1150,18924.03,3.317,8835.69,3.617,-193.98,519,4163.86,1.89,38110.58,23087.89,True,8474.2,2418.1100000000006,10892.310000000001,84.10538
100,15,25,20,55,60,15.0,28938.17,5.862,-239.54,1142,18659.06,3.25,8800.27,3.499,-253.98,515,4164.51,1.872,37738.44,22823.57,True,8137.48,2382.6900000000005,10520.17,83.87697333333334
120,15,25,20,55,60,15.0,28453.84,5.426,-319.54,1138,18211.0,3.082,8836.29,3.544,-309.48,510,4245.74,1.907,37290.130000000005,22456.739999999998,True,7653.1500000000015,2418.710000000001,10071.860000000002,83.48033000000001
140,15,25,20,55,60,15.0,28571.44,5.571,-344.15,1133,18373.58,3.153,8546.72,3.285,-305.69,507,3983.17,1.81,37118.159999999996,22356.75,True,7770.75,2129.1399999999994,9899.89,83.13656
80,15,25,20,40,45,22.5,27646.07,5.796,-179.28,1150,17295.1,3.121,8177.86,3.419,-201.57,519,3506.04,1.749,35823.93,20801.14,True,6845.380000000001,1760.2799999999997,8605.66,80.34909666666665
100,15,25,20,40,45,22.5,27301.87,5.587,-247.49,1142,17022.66,3.056,8152.21,3.315,-261.57,515,3516.46,1.737,35454.08,20539.12,True,6501.18,1734.63,8235.810000000001,80.21801333333333
120,15,25,20,40,45,22.5,26811.65,5.17,-327.49,1138,16568.7,2.897,8188.86,3.357,-317.07,510,3598.32,1.77,35000.51,20167.02,True,6010.960000000003,1771.2799999999997,7782.2400000000025,79.86944333333334
140,15,25,20,40,45,22.5,26918.1,5.306,-359.28,1133,16720.11,2.963,7900.63,3.112,-313.28,507,3337.09,1.679,34818.729999999996,20057.2,True,6117.41,1483.0500000000002,7600.46,79.60432999999999
80,15,25,20,55,60,22.5,27194.41,5.718,-179.28,1150,16843.55,3.062,8090.95,3.393,-201.57,520,3410.2,1.728,35285.36,20253.75,True,6393.720000000001,1673.37,8067.090000000001,79.46386
100,15,25,20,55,60,22.5,26855.44,5.512,-258.45,1142,16576.34,2.999,8063.2,3.29,-261.57,516,3418.52,1.716,34918.64,19994.86,True,6054.75,1645.62,7700.37,79.45884
80,15,35,20,50,55,15.0,28756.05,5.627,-173.5,1147,18432.15,2.907,7798.21,3.087,-193.98,520,3117.31,1.544,36554.26,21549.460000000003,True,7955.360000000001,1380.63,9335.990000000002,79.27572666666667
120,15,25,20,55,60,22.5,26367.43,5.101,-338.45,1138,16124.58,2.843,8102.9,3.333,-317.07,511,3503.43,1.749,34470.33,19628.01,True,5566.740000000002,1685.3199999999997,7252.060000000001,79.13886333333333
100,15,35,20,50,55,15.0,28409.71,5.447,-213.5,1139,18157.55,2.856,7740.71,2.992,-253.98,516,3095.91,1.53,36150.42,21253.46,True,7609.02,1323.13,8932.150000000001,78.95522
80,15,35,20,65,70,15.0,28789.38,5.632,-191.5,1147,18465.69,2.902,7446.24,2.996,-193.98,519,2774.52,1.484,36235.62,21240.21,True,7988.690000000002,1028.6599999999999,9017.350000000002,78.85042
140,15,25,20,55,60,22.5,26492.54,5.238,-359.28,1133,16294.67,2.91,7814.67,3.089,-313.28,508,3242.2,1.659,34307.21,19536.87,True,5691.850000000002,1397.0900000000001,7088.940000000002,78.78947666666666
120,15,35,20,50,55,15.0,27961.15,5.083,-267.19,1136,17736.19,2.734,7764.23,3.023,-309.48,511,3164.62,1.551,35725.380000000005,20900.809999999998,True,7160.460000000003,1346.6499999999996,8507.110000000002,78.51208000000001
100,15,35,20,65,70,15.0,28403.37,5.446,-213.5,1139,18151.39,2.847,7330.24,2.889,-253.98,515,2694.59,1.461,35733.61,20845.98,True,7602.68,912.6599999999999,8515.34,78.19174333333333
140,15,35,20,50,55,15.0,27894.54,5.102,-327.19,1131,17714.61,2.744,7440.09,2.81,-315.19,508,2867.51,1.478,35334.630000000005,20582.120000000003,True,7093.850000000002,1022.5100000000002,8116.360000000002,78.13176333333334
120,15,35,20,65,70,15.0,27941.48,5.08,-271.5,1136,17716.72,2.725,7337.74,2.914,-309.48,510,2747.29,1.478,35279.22,20464.010000000002,True,7140.790000000001,920.1599999999999,8060.950000000001,77.73568666666667
140,15,35,20,65,70,15.0,27839.81,5.094,-331.5,1131,17660.11,2.731,7007.05,2.707,-342.68,507,2443.63,1.407,34846.86,20103.74,True,7039.120000000003,589.4700000000003,7628.590000000003,77.59199333333333
80,15,45,20,60,65,15.0,28510.66,5.212,-173.5,1144,18213.95,2.615,7755.02,2.966,-193.98,522,3055.82,1.482,36265.68,21269.77,True,7709.970000000001,1337.4400000000005,9047.410000000002,77.20048000000001
100,15,45,20,60,65,15.0,28089.04,5.052,-213.5,1136,17864.05,2.569,7740.18,2.891,-253.98,518,3077.18,1.477,35829.22,20941.23,True,7288.350000000002,1322.6000000000004,8610.950000000003,76.98068666666667
120,15,45,20,60,65,15.0,27642.33,4.741,-263.47,1133,17444.55,2.476,7742.68,2.912,-309.48,513,3124.87,1.491,35385.01,20569.42,True,6841.640000000003,1325.1000000000004,8166.740000000003,76.62451
140,15,45,20,60,65,15.0,27538.15,4.752,-323.47,1128,17385.44,2.479,7418.12,2.717,-352.68,510,2827.33,1.427,34956.270000000004,20212.769999999997,True,6737.460000000003,1000.54,7738.000000000003,76.61443666666666
80,15,45,20,75,80,15.0,28497.25,5.212,-191.5,1143,18209.25,2.612,7277.57,2.84,-193.98,520,2596.5,1.408,35774.82,20805.75,True,7696.560000000001,859.9899999999998,8556.550000000001,76.46961999999999
