min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,15.0,520,362,158,0.6962,4489.32,9257.31,4767.99,1.942,25.57,-30.18,8.633,-286.3,-14.32,5,-214.1,4012.36,2.305,476.96,1.282,156,520,383,137,0.7365,9170.31,12631.71,3461.4,3.649,32.98,-25.27,17.635,-193.98,-9.7,4,-178.0,7289.36,4.247,1880.95,2.546,156,93.46,82.73
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,22.5,519,362,157,0.6975,3506.04,8184.26,4678.23,1.749,22.61,-29.8,6.755,-305.11,-15.26,5,-214.1,3209.26,2.043,296.77,1.185,156,519,383,136,0.738,8177.86,11558.54,3380.68,3.419,30.18,-24.86,15.757,-201.57,-10.08,4,-178.0,6477.16,3.88,1700.7,2.503,156,93.62,72.28
0.12,"(0.3, 0.6)",True,80,15,25,20,55,60,15.0,519,361,158,0.6956,4163.86,8841.8,4677.95,1.89,24.49,-29.61,8.023,-302.65,-15.13,5,-214.1,3640.95,2.183,522.91,1.327,156,519,383,136,0.738,8835.69,12212.58,3376.9,3.617,31.89,-24.83,17.024,-193.98,-9.7,4,-178.0,6908.87,4.077,1926.82,2.702,156,94.32,81.26
0.12,"(0.3, 0.6)",True,80,15,25,20,55,60,22.5,520,362,158,0.6962,3410.2,8091.93,4681.73,1.728,22.35,-29.63,6.558,-310.24,-15.51,5,-214.1,3099.09,2.006,311.12,1.194,156,520,384,136,0.7385,8090.95,11471.63,3380.68,3.393,29.87,-24.86,15.56,-201.57,-10.08,4,-178.0,6375.92,3.835,1715.04,2.515,156,93.88,71.78
0.12,"(0.3, 0.6)",True,80,15,35,20,50,55,15.0,520,291,229,0.5596,3117.31,8843.75,5726.44,1.544,30.39,-25.01,5.995,-335.91,-16.8,9,-214.1,2926.49,1.772,190.82,1.098,156,520,304,216,0.5846,7798.21,11535.1,3736.9,3.087,37.94,-17.3,14.997,-193.98,-9.7,9,-178.0,6203.35,3.493,1594.85,2.277,156,93.39,64.47
0.12,"(0.3, 0.6)",True,80,15,35,20,50,55,22.5,520,291,229,0.5596,2351.73,8081.96,5730.22,1.41,27.77,-25.02,4.523,-411.66,-20.58,9,-214.1,2349.33,1.619,2.41,1.001,156,520,304,216,0.5846,7032.56,10773.24,3740.68,2.88,35.44,-17.32,13.524,-201.57,-10.08,9,-178.0,5626.15,3.258,1406.41,2.126,156,93.05,53.28
0.12,"(0.3, 0.6)",True,80,15,35,20,65,70,15.0,519,285,234,0.5491,2774.52,8507.42,5732.91,1.484,29.85,-24.5,5.346,-309.64,-15.48,8,-214.1,2576.08,1.679,198.43,1.102,156,519,304,215,0.5857,7446.24,11177.6,3731.36,2.996,36.77,-17.36,14.347,-193.98,-9.7,8,-178.0,5843.76,3.354,1602.48,2.283,156,94.09,62.2
0.12,"(0.3, 0.6)",True,80,15,35,20,65,70,22.5,520,285,235,0.5481,2188.38,7928.53,5740.15,1.381,27.82,-24.43,4.208,-349.83,-17.49,8,-214.1,2113.27,1.556,75.11,1.039,156,520,305,215,0.5865,6869.02,10604.13,3735.11,2.839,34.77,-17.37,13.21,-201.57,-10.08,8,-178.0,5389.88,3.168,1479.14,2.184,156,94.06,54.25
0.12,"(0.3, 0.6)",True,80,15,45,20,60,65,15.0,522,251,271,0.4808,3055.82,9389.29,6333.47,1.482,37.41,-23.37,5.854,-321.17,-16.06,9,-227.6,2636.98,1.62,418.84,1.201,157,522,260,262,0.4981,7755.02,11698.91,3943.9,2.966,45.0,-15.05,14.856,-193.98,-9.7,9,-182.5,5923.04,3.239,1831.98,2.411,157,95.5,68.01
0.12,"(0.3, 0.6)",True,80,15,45,20,60,65,22.5,523,251,272,0.4799,2358.58,8699.34,6340.75,1.372,34.66,-23.31,4.51,-332.47,-16.62,9,-227.6,2207.17,1.518,151.41,1.073,157,523,261,262,0.499,7066.65,11014.33,3947.68,2.79,42.2,-15.07,13.512,-201.57,-10.08,9,-182.5,5502.07,3.077,1564.58,2.205,157,94.47,57.1
0.12,"(0.3, 0.6)",True,80,15,45,20,75,80,15.0,520,243,277,0.4673,2596.5,8957.44,6360.94,1.408,36.86,-22.96,4.993,-349.72,-17.49,8,-248.0,2347.51,1.549,248.99,1.12,156,520,259,261,0.4981,7277.57,11233.44,3955.86,2.84,43.37,-15.16,13.995,-193.98,-9.7,8,-182.5,5624.42,3.116,1653.15,2.273,156,94.88,61.19
0.12,"(0.3, 0.6)",True,80,15,45,20,75,80,22.5,520,243,277,0.4673,2036.3,8397.24,6360.94,1.32,34.56,-22.96,3.916,-394.85,-19.74,8,-248.0,1920.62,1.449,115.68,1.056,156,520,259,261,0.4981,6717.28,10673.14,3955.86,2.698,41.21,-15.16,12.918,-201.57,-10.08,8,-182.5,5197.46,2.956,1519.82,2.171,156,94.78,53.43
