score_lighter,score_blofin,sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,lighter_n,lighter_net_pnl,lighter_profit_factor,lighter_max_dd,lighter_win_rate,lighter_oos_net_pnl,lighter_oos_pf,blofin_net_pnl,blofin_profit_factor,blofin_max_dd
96.23,52.02,120,0.12,"(0.3, 0.6)",True,488,6044.57,2.092,-372.5,0.502,1527.82,1.991,1651.8,1.214,-622.82
96.18,55.85,120,0.12,"(0.3, 0.6)",True,487,6329.39,2.144,-362.57,0.501,1590.21,2.028,1945.66,1.252,-596.66
96.16,47.77,100,0.12,"(0.3, 0.6)",True,495,5927.03,2.014,-368.06,0.4848,1492.35,1.899,1471.1,1.181,-742.24
96.14,52.26,80,0.12,"(0.3, 0.6)",True,509,6304.2,2.084,-279.1,0.5639,1568.24,1.934,1721.79,1.22,-539.23
96.12,60.27,120,0.12,"(0.3, 0.6)",True,493,6732.52,2.205,-343.31,0.5903,1679.63,2.042,2294.56,1.31,-572.77
96.08,54.08,100,0.12,"(0.3, 0.6)",True,501,6364.29,2.086,-399.1,0.5729,1594.96,1.932,1854.14,1.238,-632.28
95.87,54.79,120,0.12,"(0.3, 0.6)",True,493,6390.93,2.143,-322.25,0.5903,1569.69,1.973,1952.93,1.264,-654.69
95.82,44.96,80,0.12,"(0.3, 0.6)",True,509,5961.15,2.024,-262.5,0.5639,1453.96,1.866,1378.71,1.176,-570.68
95.77,47.4,100,0.12,"(0.3, 0.6)",True,501,6018.65,2.027,-381.75,0.5729,1480.69,1.866,1508.47,1.194,-659.7
95.67,55.37,80,0.12,"(0.3, 0.6)",True,509,6565.94,2.182,-276.73,0.6798,1585.26,1.981,1983.82,1.282,-430.47
95.67,63.44,80,0.12,"(0.3, 0.6)",True,509,7228.43,2.302,-258.0,0.6798,1737.6,2.075,2646.3,1.377,-371.63
95.54,64.12,80,0.12,"(0.3, 0.6)",True,509,7323.3,2.319,-258.0,0.6798,1746.11,2.08,2741.13,1.391,-376.47
95.5,68.01,80,0.12,"(0.3, 0.6)",True,522,7755.02,2.966,-193.98,0.4981,1831.98,2.411,3055.82,1.482,-321.17
95.43,44.4,120,0.12,"(0.3, 0.6)",True,493,5835.03,2.044,-331.17,0.5903,1400.02,1.868,1397.2,1.189,-641.17
95.42,43.08,120,0.12,"(0.3, 0.6)",True,493,5787.03,2.035,-331.17,0.5903,1388.27,1.861,1349.12,1.182,-683.81
95.27,62.98,100,0.12,"(0.3, 0.6)",True,501,7211.93,2.289,-365.42,0.6926,1706.6,2.036,2701.94,1.387,-495.13
95.27,68.63,120,0.12,"(0.3, 0.6)",True,493,7600.62,2.429,-319.21,0.712,1788.66,2.151,3162.81,1.479,-436.43
95.25,61.45,120,0.12,"(0.3, 0.6)",True,493,6942.42,2.305,-335.38,0.712,1638.16,2.054,2504.61,1.38,-454.7
95.23,54.57,100,0.12,"(0.3, 0.6)",True,501,6543.19,2.17,-396.73,0.6926,1554.26,1.943,2033.22,1.291,-570.43
95.17,51.45,80,0.12,"(0.3, 0.6)",True,507,6408.91,2.171,-276.73,0.6805,1499.96,1.928,1844.94,1.266,-465.47
95.16,63.58,100,0.12,"(0.3, 0.6)",True,501,7293.73,2.304,-365.42,0.6926,1713.65,2.04,2783.71,1.399,-500.59
95.12,69.07,120,0.12,"(0.3, 0.6)",True,493,7675.8,2.443,-319.21,0.712,1789.21,2.151,3237.95,1.491,-436.43
94.97,60.58,140,0.12,"(0.3, 0.6)",True,488,6937.65,2.178,-385.42,0.7131,1616.12,1.913,2544.82,1.356,-493.65
94.88,61.19,80,0.12,"(0.3, 0.6)",True,520,7277.57,2.84,-193.98,0.4981,1653.15,2.273,2596.5,1.408,-349.72
94.8,60.84,140,0.12,"(0.3, 0.6)",True,488,7002.19,2.189,-385.42,0.7131,1612.15,1.911,2609.33,1.365,-493.65
94.78,53.43,80,0.12,"(0.3, 0.6)",True,520,6717.28,2.698,-201.57,0.4981,1519.82,2.171,2036.3,1.32,-394.85
94.73,38.53,80,0.12,"(0.3, 0.6)",True,503,5726.78,1.965,-267.0,0.4751,1365.62,1.79,1198.62,1.144,-681.08
94.72,51.1,140,0.12,"(0.3, 0.6)",True,488,6270.65,2.064,-401.58,0.7131,1444.5,1.816,1877.81,1.263,-534.68
94.58,58.0,120,0.12,"(0.3, 0.6)",True,491,6799.61,2.309,-335.38,0.7128,1537.61,1.989,2379.92,1.368,-480.13
94.54,35.06,120,0.12,"(0.3, 0.6)",True,488,5315.19,1.961,-378.75,0.502,1278.17,1.829,922.51,1.119,-639.97
94.47,57.1,80,0.12,"(0.3, 0.6)",True,523,7066.65,2.79,-201.57,0.499,1564.58,2.205,2358.58,1.372,-332.47
94.46,46.28,140,0.12,"(0.3, 0.6)",True,488,6024.55,1.977,-439.51,0.5881,1414.37,1.772,1631.6,1.205,-765.69
94.32,81.26,80,0.12,"(0.3, 0.6)",True,519,8835.69,3.617,-193.98,0.738,1926.82,2.702,4163.86,1.89,-302.65
94.13,35.64,120,0.12,"(0.3, 0.6)",True,487,5329.73,1.963,-374.93,0.501,1244.97,1.805,946.14,1.123,-619.43
94.12,36.53,100,0.12,"(0.3, 0.6)",True,496,5573.77,1.953,-395.5,0.4859,1318.09,1.794,1108.77,1.136,-747.09
94.09,62.2,80,0.12,"(0.3, 0.6)",True,519,7446.24,2.996,-193.98,0.5857,1602.48,2.283,2774.52,1.484,-309.64
94.06,54.25,80,0.12,"(0.3, 0.6)",True,520,6869.02,2.839,-201.57,0.5865,1479.14,2.184,2188.38,1.381,-349.83
