min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,15.0,1150,867,283,0.7539,19948.51,28089.17,8140.66,3.45,32.4,-28.77,17.347,-268.07,-13.4,5,-200.5,14954.12,3.648,4994.39,3.003,345,1150,898,252,0.7809,30299.55,36063.55,5764.0,6.257,40.16,-22.87,26.347,-173.5,-8.67,4,-173.5,22199.35,6.424,8100.21,5.846,345,97.77,96.56
0.12,"(0.3, 0.6)",True,80,15,25,20,40,45,22.5,1150,859,291,0.747,17295.1,25449.96,8154.87,3.121,29.63,-28.02,15.039,-287.05,-14.35,5,-200.5,12747.77,3.252,4547.32,2.822,345,1150,898,252,0.7809,27646.07,33410.07,5764.0,5.796,37.2,-22.87,24.04,-179.28,-8.96,4,-173.5,19993.0,5.885,7653.06,5.579,345,98.39,97.36
0.12,"(0.3, 0.6)",True,80,15,25,20,55,60,15.0,1150,859,291,0.747,18924.03,27092.68,8168.66,3.317,31.54,-28.07,16.456,-279.11,-13.96,5,-200.5,14111.7,3.488,4812.33,2.928,345,1150,898,252,0.7809,29274.89,35038.89,5764.0,6.079,39.02,-22.87,25.456,-173.5,-8.67,4,-173.5,21356.75,6.219,7918.14,5.737,345,97.97,96.81
0.12,"(0.3, 0.6)",True,80,15,25,20,55,60,22.5,1150,859,291,0.747,16843.55,25012.21,8168.66,3.062,29.12,-28.07,14.647,-298.01,-14.9,5,-200.5,12498.3,3.203,4345.25,2.74,345,1150,898,252,0.7809,27194.41,32958.41,5764.0,5.718,36.7,-22.87,23.647,-179.28,-8.96,4,-173.5,19743.42,5.824,7451.0,5.458,345,98.2,97.02
0.12,"(0.3, 0.6)",True,80,15,35,20,50,55,15.0,1147,743,404,0.6478,18432.15,28096.34,9664.19,2.907,37.81,-23.92,16.07,-210.2,-10.51,8,-200.5,13660.9,3.032,4771.25,2.621,345,1147,777,370,0.6774,28756.05,34971.05,6215.0,5.627,45.01,-16.8,25.071,-173.5,-8.67,8,-173.5,20878.93,5.699,7877.13,5.447,345,98.2,97.14
0.12,"(0.3, 0.6)",True,80,15,35,20,50,55,22.5,1147,743,404,0.6478,16226.7,25890.88,9664.19,2.679,34.85,-23.92,14.147,-237.81,-11.89,8,-200.5,11928.75,2.775,4297.94,2.461,345,1147,777,370,0.6774,26550.53,32765.53,6215.0,5.272,42.17,-16.8,23.148,-173.5,-8.68,8,-173.5,19146.79,5.309,7403.74,5.179,345,98.52,97.51
0.12,"(0.3, 0.6)",True,80,15,35,20,65,70,15.0,1147,731,416,0.6373,18465.69,28171.89,9706.2,2.902,38.54,-23.33,16.099,-254.43,-12.72,8,-200.5,13838.08,3.05,4627.62,2.565,345,1147,777,370,0.6774,28789.38,35004.38,6215.0,5.632,45.05,-16.8,25.1,-191.5,-9.57,8,-173.5,21055.92,5.739,7733.46,5.365,345,97.84,96.57
0.12,"(0.3, 0.6)",True,80,15,35,20,65,70,22.5,1147,731,416,0.6373,16722.0,26428.21,9706.2,2.723,36.15,-23.33,14.579,-254.43,-12.72,8,-200.5,12529.99,2.856,4192.02,2.418,345,1147,777,370,0.6774,27045.73,33260.73,6215.0,5.352,42.81,-16.8,23.58,-191.5,-9.57,8,-173.5,19747.92,5.444,7297.81,5.12,345,97.92,96.56
0.12,"(0.3, 0.6)",True,80,15,45,20,60,65,15.0,1144,627,517,0.5481,18213.95,29493.64,11279.68,2.615,47.04,-21.82,15.921,-295.16,-14.76,11,-228.55,13342.07,2.667,4871.88,2.488,344,1144,653,491,0.5708,28510.66,35280.16,6769.5,5.212,54.03,-13.79,24.922,-173.5,-8.67,11,-173.5,20541.86,5.16,7968.8,5.352,344,98.57,97.67
0.12,"(0.3, 0.6)",True,80,15,45,20,60,65,22.5,1144,627,517,0.5481,15945.26,27224.94,11279.68,2.414,43.42,-21.82,13.938,-325.4,-16.27,11,-228.55,11621.49,2.452,4323.77,2.321,344,1144,653,491,0.5708,26241.92,33011.42,6769.5,4.876,50.55,-13.79,22.939,-173.5,-8.68,11,-173.5,18821.32,4.811,7420.6,5.053,344,98.79,97.87
0.12,"(0.3, 0.6)",True,80,15,45,20,75,80,15.0,1143,618,525,0.5407,18209.25,29506.93,11297.68,2.612,47.75,-21.52,15.931,-316.41,-15.82,11,-228.55,13305.37,2.658,4903.88,2.499,343,1143,653,490,0.5713,28497.25,35262.25,6765.0,5.212,54.0,-13.81,24.932,-191.5,-9.57,11,-173.5,20505.43,5.152,7991.82,5.375,343,98.63,97.78
0.12,"(0.3, 0.6)",True,80,15,45,20,75,80,22.5,1143,618,525,0.5407,16386.23,27683.92,11297.68,2.45,44.8,-21.52,14.336,-316.41,-15.82,11,-228.55,11911.66,2.484,4474.57,2.368,343,1143,653,490,0.5713,26674.2,33439.2,6765.0,4.943,51.21,-13.81,23.337,-191.5,-9.57,11,-173.5,19111.76,4.87,7562.44,5.14,343,98.83,98.01
0.12,"(0.3, 0.6)",True,80,25,35,30,50,55,25.0,1122,854,268,0.7611,17113.7,29556.61,12442.91,2.375,34.61,-46.43,15.253,-428.32,-21.42,4,-200.4,12378.99,2.415,4734.71,2.282,337,1122,854,268,0.7611,27212.8,37243.8,10031.0,3.713,43.61,-37.43,24.254,-356.27,-17.81,4,-173.5,19444.37,3.741,7768.43,3.644,337,98.9,98.19
0.12,"(0.3, 0.6)",True,80,25,35,30,50,55,37.5,1121,844,277,0.7529,14653.89,27038.72,12384.84,2.183,32.04,-44.71,13.072,-436.19,-21.81,4,-200.4,10746.08,2.237,3907.81,2.056,337,1121,854,267,0.7618,24744.01,34690.51,9946.5,3.488,40.62,-37.25,22.073,-364.14,-18.21,4,-173.5,17802.53,3.54,6941.47,3.363,337,98.55,97.48
0.12,"(0.3, 0.6)",True,80,25,35,30,65,70,25.0,1122,854,268,0.7611,17315.52,29758.43,12442.91,2.392,34.85,-46.43,15.433,-433.05,-21.65,4,-200.4,12742.18,2.456,4573.35,2.238,337,1122,854,268,0.7611,27414.69,37445.69,10031.0,3.733,43.85,-37.43,24.434,-361.0,-18.05,4,-173.5,19807.62,3.793,7607.08,3.589,337,98.37,97.36
0.12,"(0.3, 0.6)",True,80,25,35,30,65,70,37.5,1122,854,268,0.7611,14881.13,27324.04,12442.91,2.196,32.0,-46.43,13.263,-433.05,-21.65,4,-200.4,10772.52,2.231,4108.61,2.112,337,1122,854,268,0.7611,24980.26,35011.26,10031.0,3.49,41.0,-37.43,22.264,-361.0,-18.05,4,-173.5,17838.07,3.515,7142.18,3.431,337,98.92,98.12
0.12,"(0.3, 0.6)",True,80,25,45,30,60,65,25.0,1118,718,400,0.6422,14967.8,29127.76,14159.96,2.057,40.57,-35.4,13.388,-443.05,-22.15,5,-294.15,10882.73,2.098,4085.07,1.962,336,1118,718,400,0.6422,25030.87,35590.87,10560.0,3.37,49.57,-26.4,22.389,-371.0,-18.55,5,-258.0,17921.13,3.41,7109.74,3.277,336,98.79,97.9
0.12,"(0.3, 0.6)",True,80,25,45,30,60,65,37.5,1118,718,400,0.6422,12303.31,26463.27,14159.96,1.869,36.86,-35.4,11.005,-460.17,-23.01,5,-294.15,9004.07,1.908,3299.24,1.777,336,1118,718,400,0.6422,22366.48,32926.48,10560.0,3.118,45.86,-26.4,20.006,-377.25,-18.86,5,-258.0,16042.69,3.157,6323.79,3.025,336,98.68,94.88
0.12,"(0.3, 0.6)",True,80,25,45,30,75,80,25.0,1118,718,400,0.6422,15011.46,29171.41,14159.96,2.06,40.63,-35.4,13.427,-448.05,-22.4,5,-294.15,10934.21,2.103,4077.25,1.96,336,1118,718,400,0.6422,25074.71,35634.71,10560.0,3.374,49.63,-26.4,22.428,-376.0,-18.8,5,-258.0,17972.76,3.417,7101.95,3.274,336,98.73,97.81
0.12,"(0.3, 0.6)",True,80,25,45,30,75,80,37.5,1118,718,400,0.6422,12435.83,26595.78,14159.96,1.878,37.04,-35.4,11.123,-458.3,-22.91,5,-294.15,9106.45,1.919,3329.37,1.784,336,1118,718,400,0.6422,22499.06,33059.06,10560.0,3.131,46.04,-26.4,20.124,-376.0,-18.8,5,-258.0,16145.08,3.171,6353.98,3.035,336,98.66,95.04
0.12,"(0.3, 0.6)",True,80,25,55,30,70,75,25.0,1113,623,490,0.5597,14844.43,30299.33,15454.9,1.961,48.63,-31.54,13.337,-448.05,-22.4,8,-294.15,11250.29,2.048,3594.15,1.762,334,1113,623,490,0.5597,24862.6,35907.6,11045.0,3.251,57.64,-22.54,22.338,-376.0,-18.8,8,-258.0,18261.97,3.368,6600.63,2.98,334,97.55,95.06
