score_lighter,score_blofin,sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,lighter_n,lighter_net_pnl,lighter_profit_factor,lighter_max_dd,lighter_win_rate,lighter_oos_net_pnl,lighter_oos_pf,blofin_net_pnl,blofin_profit_factor,blofin_max_dd
99.86,99.62,100,0.12,"(0.3, 0.6)",True,1103,23789.94,3.214,-334.68,0.7688,7170.6,3.434,13861.44,2.063,-532.58
99.86,98.44,100,0.12,"(0.3, 0.6)",True,1099,23778.45,3.114,-330.5,0.646,7184.82,3.295,13886.0,1.941,-521.26
99.85,98.44,100,0.12,"(0.3, 0.6)",True,1099,23805.92,3.116,-350.5,0.646,7216.34,3.305,13913.27,1.943,-580.24
99.83,99.6,120,0.12,"(0.3, 0.6)",True,1096,25228.55,3.161,-420.57,0.7737,7780.64,3.516,15363.31,2.105,-618.44
99.83,94.67,100,0.12,"(0.3, 0.6)",True,1099,21120.99,2.877,-355.94,0.646,6439.35,3.057,11228.44,1.761,-620.15
99.83,94.86,100,0.12,"(0.3, 0.6)",True,1099,21246.14,2.888,-354.07,0.646,6469.53,3.066,11353.53,1.77,-618.27
99.82,98.16,120,0.12,"(0.3, 0.6)",True,1095,22746.84,2.969,-406.6,0.7744,6992.16,3.261,12890.56,1.933,-639.91
99.82,92.63,100,0.12,"(0.3, 0.6)",True,1066,22006.23,2.356,-387.0,0.7223,6833.49,2.488,12410.58,1.657,-628.0
99.82,92.44,100,0.12,"(0.3, 0.6)",True,1063,21813.08,2.345,-387.0,0.7234,6731.29,2.466,12244.38,1.649,-665.54
99.82,96.28,120,0.12,"(0.3, 0.6)",True,1092,22923.19,2.886,-422.41,0.6511,7097.12,3.165,13093.95,1.84,-681.23
99.8,99.56,100,0.12,"(0.3, 0.6)",True,1103,26061.09,3.425,-286.83,0.7688,7783.93,3.642,16132.63,2.237,-478.45
99.79,89.07,100,0.12,"(0.3, 0.6)",True,1061,19543.07,2.17,-407.16,0.6221,6175.27,2.305,9992.44,1.492,-766.59
99.79,88.84,100,0.12,"(0.3, 0.6)",True,1061,19330.19,2.157,-406.67,0.6221,6107.32,2.291,9779.52,1.481,-766.1
99.79,96.3,120,0.12,"(0.3, 0.6)",True,1092,22961.05,2.889,-481.36,0.6511,7149.28,3.181,13131.58,1.843,-740.21
99.79,98.3,120,0.12,"(0.3, 0.6)",True,1096,22951.27,2.966,-474.68,0.7737,7164.02,3.316,13085.99,1.941,-677.75
99.78,99.51,120,0.12,"(0.3, 0.6)",True,1096,25413.69,3.177,-443.86,0.7737,7608.54,3.46,15548.37,2.118,-641.75
99.78,92.33,120,0.12,"(0.3, 0.6)",True,1049,21792.21,2.313,-486.26,0.7388,6699.05,2.429,12349.85,1.648,-783.81
99.77,99.49,140,0.12,"(0.3, 0.6)",True,1084,24945.76,3.079,-583.86,0.7786,7611.09,3.436,15188.69,2.073,-781.73
99.77,90.77,100,0.12,"(0.3, 0.6)",True,1059,20361.68,2.264,-460.0,0.7243,6430.46,2.401,10828.45,1.577,-829.3
99.77,99.5,140,0.12,"(0.3, 0.6)",True,1084,24791.84,3.066,-560.57,0.7786,7759.98,3.484,15034.84,2.062,-758.43
99.76,92.78,120,0.12,"(0.3, 0.6)",True,1092,20410.05,2.679,-497.87,0.6511,6416.56,2.958,10580.64,1.679,-843.96
99.76,92.15,120,0.12,"(0.3, 0.6)",True,1046,21626.25,2.304,-523.78,0.74,6624.68,2.413,12210.83,1.642,-845.32
99.76,97.32,140,0.12,"(0.3, 0.6)",True,1083,22335.57,2.884,-526.6,0.7793,6997.4,3.243,12587.57,1.896,-759.94
99.75,87.45,100,0.12,"(0.3, 0.6)",True,1061,18162.11,2.087,-448.19,0.6221,5518.77,2.167,8611.67,1.424,-890.28
99.75,95.48,140,0.12,"(0.3, 0.6)",True,1080,22489.77,2.805,-562.41,0.6537,7089.21,3.146,12768.82,1.807,-841.21
99.75,87.35,100,0.12,"(0.3, 0.6)",True,1057,18041.21,2.087,-457.64,0.6216,5582.86,2.18,8526.71,1.422,-927.83
99.75,92.61,120,0.12,"(0.3, 0.6)",True,1092,20282.34,2.669,-499.74,0.6511,6385.95,2.948,10452.99,1.671,-842.11
