sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_net,zec_pf,sol_net,sol_pf,zec_dd,sol_dd,combined_net,lift_vs_b2,both_profitable
80,8,18,13,28,33,10,33604.97,9.838,11114.95,5.953,-213.34,-188.92,44719.92,5250.059999999998,True
100,8,18,13,28,33,10,33665.27,9.912,10902.14,5.435,-273.34,-248.92,44567.409999999996,5097.549999999996,True
80,10,20,15,30,35,10,33328.7,8.355,10769.29,5.012,-213.34,-190.08,44097.99,4628.129999999997,True
120,8,18,13,28,33,10,33248.45,8.968,10761.14,5.14,-333.34,-304.42,44009.59,4539.729999999996,True
80,8,18,13,33,38,10,33063.38,9.696,10934.18,5.873,-213.34,-188.92,43997.56,4527.699999999997,True
100,10,20,15,30,35,10,33291.96,8.295,10687.32,4.831,-273.34,-250.08,43979.28,4509.419999999998,True
100,8,18,13,33,38,10,33119.09,9.767,10721.37,5.361,-273.34,-248.92,43840.46,4370.5999999999985,True
120,10,20,15,30,35,10,33034.13,7.876,10744.05,4.919,-333.34,-305.58,43778.17999999999,4308.319999999992,True
80,10,20,15,35,40,10,32990.9,8.283,10619.35,5.085,-213.34,-190.08,43610.25,4140.389999999999,True
80,12,22,17,32,37,10,32836.29,7.522,10706.84,4.633,-199.84,-188.92,43543.130000000005,4073.270000000004,True
100,10,20,15,35,40,10,32955.57,8.222,10562.04,4.933,-273.34,-250.08,43517.61,4047.75,True
80,8,18,13,38,43,10,32705.77,9.585,10647.22,5.755,-213.34,-188.92,43352.99,3883.1299999999974,True
120,10,20,15,35,40,10,32692.75,7.805,10638.77,5.065,-333.34,-305.58,43331.520000000004,3861.6600000000035,True
100,12,22,17,32,37,10,32746.54,7.349,10551.53,4.39,-259.84,-248.92,43298.07,3828.209999999999,True
120,8,18,13,33,38,10,32712.27,8.839,10580.37,5.07,-333.34,-304.42,43292.64,3822.779999999999,True
80,15,25,20,35,40,10,33014.35,6.733,10238.27,3.96,-173.5,-188.92,43252.619999999995,3782.7599999999948,True
100,8,18,13,38,43,10,32753.99,9.671,10434.41,5.252,-273.34,-248.92,43188.4,3718.540000000001,True
80,12,22,17,37,42,10,32529.54,7.464,10579.52,4.696,-204.84,-188.92,43109.06,3639.199999999997,True
120,12,22,17,32,37,10,32384.72,6.889,10646.97,4.549,-319.84,-304.42,43031.69,3561.8300000000017,True
80,10,20,15,40,45,10,32464.2,8.155,10405.08,5.002,-213.34,-188.92,42869.28,3399.4199999999983,True
100,12,22,17,37,42,10,32432.21,7.288,10435.58,4.469,-264.84,-248.92,42867.79,3397.9300000000003,True
100,15,25,20,35,40,10,32750.02,6.502,10103.23,3.787,-214.07,-248.92,42853.25,3383.3899999999994,True
100,10,20,15,40,45,10,32421.37,8.104,10356.0,4.856,-273.34,-248.92,42777.369999999995,3307.5099999999948,True
120,8,18,13,38,43,10,32345.36,8.751,10293.41,4.967,-333.34,-304.42,42638.770000000004,3168.9100000000035,True
120,12,22,17,37,42,10,32064.58,6.831,10551.02,4.669,-324.84,-304.42,42615.600000000006,3145.7400000000052,True
120,10,20,15,40,45,10,32154.74,7.693,10434.0,4.986,-333.34,-304.42,42588.740000000005,3118.8800000000047,True
80,15,25,20,40,45,10,32370.78,6.616,10010.51,3.894,-173.5,-188.92,42381.29,2911.4300000000003,True
120,15,25,20,35,40,10,32257.2,6.017,10118.68,3.812,-282.51,-304.42,42375.880000000005,2906.020000000004,True
80,12,22,17,42,47,10,32083.38,7.366,10280.05,4.591,-204.84,-188.92,42363.43,2893.5699999999997,True
80,18,28,23,38,43,10,32338.27,5.498,9902.88,3.39,-263.45,-242.42,42241.15,2771.290000000001,True
