min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,8,18,13,28,33,10,525,305,220,0.581,6388.98,9733.05,3344.06,2.911,31.91,-15.2,12.169,-302.77,-15.14,7,-214.1,5438.28,3.621,950.7,1.749,158,525,418,107,0.7962,11114.95,13358.82,2243.87,5.953,31.96,-20.97,21.171,-188.92,-9.45,4,-178.0,8742.16,7.278,2372.79,3.787,158,94.06,89.45
0.12,"(0.3, 0.6)",True,80,8,18,13,28,33,15,524,305,219,0.5821,5252.2,8602.78,3350.59,2.568,28.21,-15.3,10.023,-309.7,-15.48,7,-214.1,4469.49,3.134,782.7,1.623,158,524,418,106,0.7977,9969.09,12210.99,2241.9,5.447,29.21,-21.15,19.025,-193.98,-9.7,4,-178.0,7764.35,6.566,2204.75,3.603,158,94.55,89.35
0.12,"(0.3, 0.6)",True,80,8,18,13,28,33,20,524,275,249,0.5248,4174.05,7554.49,3380.44,2.235,27.47,-13.58,7.966,-317.24,-15.86,8,-214.1,3668.42,2.732,505.63,1.401,158,524,418,106,0.7977,8890.88,11135.3,2244.42,4.961,26.64,-21.17,16.967,-200.06,-10.0,4,-178.0,6963.18,5.982,1927.7,3.276,158,94.23,83.19
0.12,"(0.3, 0.6)",True,80,8,18,13,33,38,10,525,279,246,0.5314,6208.19,9588.66,3380.47,2.836,34.37,-13.74,11.825,-302.77,-15.14,8,-214.1,5291.46,3.512,916.74,1.719,158,525,418,107,0.7962,10934.18,13178.05,2243.87,5.873,31.53,-20.97,20.827,-188.92,-9.45,4,-178.0,8595.32,7.173,2338.86,3.747,158,94.09,89.36
0.12,"(0.3, 0.6)",True,80,8,18,13,33,38,15,525,277,248,0.5276,5217.4,8604.39,3386.99,2.54,31.06,-13.66,9.938,-309.7,-15.48,8,-214.1,4532.51,3.145,684.89,1.537,158,525,418,107,0.7962,9943.31,12189.71,2246.4,5.426,29.16,-20.99,18.94,-193.98,-9.7,4,-178.0,7836.3,6.617,2107.01,3.475,158,93.93,88.16
0.12,"(0.3, 0.6)",True,80,8,18,13,33,38,20,524,276,248,0.5267,4257.12,7639.24,3382.12,2.259,27.68,-13.64,8.124,-317.24,-15.86,8,-214.1,3727.14,2.758,529.98,1.42,158,524,418,106,0.7977,8973.95,11218.37,2244.42,4.998,26.84,-21.17,17.126,-200.06,-10.0,4,-178.0,7021.9,6.024,1952.05,3.305,158,94.28,83.84
0.12,"(0.3, 0.6)",True,80,8,18,13,38,43,10,524,245,279,0.4676,5930.23,9320.68,3390.45,2.749,38.04,-12.15,11.317,-301.61,-15.08,11,-214.1,4985.17,3.346,945.06,1.747,158,524,418,106,0.7977,10647.22,12886.59,2239.37,5.755,30.83,-21.13,20.319,-188.92,-9.45,4,-178.0,8280.12,6.946,2367.1,3.795,158,94.64,90.12
0.12,"(0.3, 0.6)",True,80,8,18,13,38,43,15,524,245,279,0.4676,5037.38,8430.35,3392.97,2.485,34.41,-12.16,9.613,-309.17,-15.46,11,-214.1,4317.68,3.029,719.69,1.569,158,524,418,106,0.7977,9754.3,11996.19,2241.9,5.351,28.7,-21.15,18.615,-193.98,-9.7,4,-178.0,7612.55,6.457,2141.74,3.529,158,94.44,88.91
0.12,"(0.3, 0.6)",True,80,8,18,13,38,43,20,524,244,280,0.4656,4168.13,7564.73,3396.6,2.227,31.0,-12.13,7.954,-319.58,-15.98,11,-214.1,3670.07,2.723,498.06,1.393,158,524,418,106,0.7977,8884.97,11129.39,2244.42,4.959,26.63,-21.17,16.956,-199.54,-9.98,4,-178.0,6964.85,5.984,1920.12,3.267,158,94.18,83.04
0.12,"(0.3, 0.6)",True,80,10,20,15,30,35,10,525,389,136,0.741,6043.29,9856.73,3813.44,2.585,25.34,-28.04,11.511,-307.27,-15.36,6,-214.1,5183.98,3.161,859.3,1.608,158,525,409,116,0.779,10769.29,13453.66,2684.37,5.012,32.89,-23.14,20.513,-190.08,-9.5,4,-178.0,8488.01,6.073,2281.28,3.256,158,93.95,88.97
0.12,"(0.3, 0.6)",True,80,10,20,15,30,35,15,524,389,135,0.7424,5064.03,8804.03,3740.0,2.354,22.63,-27.7,9.664,-314.2,-15.71,6,-214.1,4281.02,2.771,783.01,1.592,158,524,409,115,0.7805,9781.01,12383.41,2602.4,4.758,30.28,-22.63,18.666,-197.01,-9.85,4,-178.0,7576.03,5.522,2204.99,3.379,158,94.83,89.69
0.12,"(0.3, 0.6)",True,80,10,20,15,30,35,20,524,389,135,0.7424,4005.86,7761.02,3755.16,2.067,19.95,-27.82,7.645,-321.74,-16.09,6,-214.1,3499.1,2.441,506.76,1.382,158,524,409,115,0.7805,8722.76,11327.68,2604.92,4.349,27.7,-22.65,16.646,-204.56,-10.23,4,-178.0,6794.01,5.049,1928.75,3.081,158,94.51,82.66
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,10,524,390,134,0.7443,5902.34,9651.35,3749.01,2.574,24.75,-27.98,11.264,-307.27,-15.36,6,-214.1,4911.21,3.027,991.13,1.748,158,524,409,115,0.7805,10619.35,13219.22,2599.87,5.085,32.32,-22.61,20.266,-190.08,-9.5,4,-178.0,8206.25,5.905,2413.1,3.604,158,94.97,90.67
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,15,524,389,135,0.7424,4947.38,8699.92,3752.54,2.318,22.36,-27.8,9.442,-314.2,-15.71,6,-214.1,4207.17,2.734,740.21,1.558,158,524,409,115,0.7805,9664.34,12266.73,2602.4,4.714,29.99,-22.63,18.443,-197.01,-9.85,4,-178.0,7502.14,5.477,2162.19,3.333,158,94.71,89.08
