score_lighter,score_blofin,sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,lighter_n,lighter_net_pnl,lighter_profit_factor,lighter_max_dd,lighter_win_rate,lighter_oos_net_pnl,lighter_oos_pf,blofin_net_pnl,blofin_profit_factor,blofin_max_dd
94.97,90.67,80,0.12,"(0.3, 0.6)",True,524,10619.35,5.085,-190.08,0.7805,2413.1,3.604,5902.34,2.574,-307.27
94.94,90.46,80,0.12,"(0.3, 0.6)",True,523,10280.05,4.591,-188.92,0.7706,2331.59,3.305,5571.98,2.375,-293.28
94.83,89.69,80,0.12,"(0.3, 0.6)",True,524,9781.01,4.758,-197.01,0.7805,2204.99,3.379,5064.03,2.354,-314.2
94.77,88.43,80,0.12,"(0.3, 0.6)",True,523,9510.66,4.32,-193.98,0.7706,2136.55,3.113,4802.67,2.184,-300.82
94.77,90.16,80,0.12,"(0.3, 0.6)",True,524,10405.08,5.002,-188.92,0.7805,2334.23,3.518,5688.02,2.517,-305.11
94.73,90.33,80,0.12,"(0.3, 0.6)",True,523,10579.52,4.696,-188.92,0.7706,2366.15,3.34,5871.43,2.451,-288.61
94.71,89.08,80,0.12,"(0.3, 0.6)",True,524,9664.34,4.714,-197.01,0.7805,2162.19,3.333,4947.38,2.318,-314.2
94.64,90.12,80,0.12,"(0.3, 0.6)",True,524,10647.22,5.755,-188.92,0.7977,2367.1,3.795,5930.23,2.749,-301.61
94.57,88.86,80,0.12,"(0.3, 0.6)",True,523,9646.08,4.367,-193.98,0.7706,2136.69,3.113,4938.07,2.219,-298.67
94.56,88.27,80,0.12,"(0.3, 0.6)",True,524,9581.06,4.682,-195.48,0.7805,2122.23,3.29,4864.07,2.297,-312.67
94.55,89.35,80,0.12,"(0.3, 0.6)",True,524,9969.09,5.447,-193.98,0.7977,2204.75,3.603,5252.2,2.568,-309.7
94.51,82.68,80,0.12,"(0.3, 0.6)",True,523,8723.25,4.042,-199.04,0.7706,1928.96,2.907,4015.35,1.99,-308.36
94.51,82.66,80,0.12,"(0.3, 0.6)",True,524,8722.76,4.349,-204.56,0.7805,1928.75,3.081,4005.86,2.067,-321.74
94.5,82.76,80,0.12,"(0.3, 0.6)",True,523,8733.55,4.046,-199.04,0.7706,1929.31,2.908,4025.64,1.992,-305.87
94.47,82.54,80,0.12,"(0.3, 0.6)",True,524,8715.15,4.346,-204.56,0.7805,1922.69,3.074,3998.25,2.064,-321.74
94.45,89.84,80,0.12,"(0.3, 0.6)",True,524,10706.84,4.633,-188.92,0.7691,2349.82,3.144,5989.8,2.453,-290.27
94.44,88.91,80,0.12,"(0.3, 0.6)",True,524,9754.3,5.351,-193.98,0.7977,2141.74,3.529,5037.38,2.485,-309.17
94.39,82.77,80,0.12,"(0.3, 0.6)",True,523,8754.09,4.053,-199.04,0.7706,1919.12,2.898,4046.17,1.998,-305.86
94.34,88.38,80,0.12,"(0.3, 0.6)",True,524,9663.04,4.276,-193.98,0.7691,2107.69,2.923,4946.08,2.195,-295.85
94.3,82.24,80,0.12,"(0.3, 0.6)",True,524,8728.16,4.351,-203.04,0.7805,1902.04,3.052,4011.25,2.068,-320.22
94.3,89.38,120,0.12,"(0.3, 0.6)",True,515,10252.45,4.566,-304.42,0.7825,2245.01,3.154,5616.51,2.408,-399.85
