min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,8,18,13,28,33,10,1157,751,406,0.6491,23190.98,29041.37,5850.39,4.964,38.67,-14.41,20.044,-276.33,-13.82,6,-200.5,17102.57,5.034,6088.41,4.779,348,1157,955,202,0.8254,33604.97,37407.38,3802.41,9.838,39.17,-18.82,29.045,-213.34,-10.67,3,-173.5,24383.6,9.575,9221.37,10.616,348,98.23,97.38
0.12,"(0.3, 0.6)",True,80,8,18,13,28,33,15,1157,748,409,0.6465,20342.8,26234.29,5891.49,4.453,35.07,-14.4,17.582,-281.74,-14.09,6,-200.5,15034.93,4.523,5307.87,4.269,348,1157,955,202,0.8254,30756.75,34561.68,3804.93,9.083,36.19,-18.84,26.583,-218.39,-10.92,3,-173.5,22315.97,8.841,8440.78,9.802,348,98.22,97.26
0.12,"(0.3, 0.6)",True,80,8,18,13,28,33,20,1156,667,489,0.577,17973.6,23929.37,5955.77,4.018,35.88,-12.18,15.548,-288.69,-14.43,11,-200.5,13258.41,4.068,4715.19,3.886,347,1156,954,202,0.8253,28378.5,32185.94,3807.44,8.453,33.74,-18.85,24.549,-223.44,-11.17,3,-173.5,20539.46,8.211,7839.04,9.174,347,98.34,97.33
0.12,"(0.3, 0.6)",True,80,8,18,13,33,38,10,1157,682,475,0.5895,22649.37,28568.48,5919.11,4.826,41.89,-12.46,19.576,-276.33,-13.82,11,-200.5,16699.24,4.896,5950.12,4.643,348,1157,955,202,0.8254,33063.38,36865.38,3802.0,9.696,38.6,-18.82,28.577,-213.34,-10.67,3,-173.5,23980.29,9.435,9083.09,10.471,348,98.25,97.39
0.12,"(0.3, 0.6)",True,80,8,18,13,33,38,15,1157,674,483,0.5825,20139.95,26077.09,5937.14,4.392,38.69,-12.29,17.407,-286.75,-14.34,11,-200.5,14920.53,4.468,5219.42,4.192,348,1157,955,202,0.8254,30553.91,34358.41,3804.5,9.031,35.98,-18.83,26.408,-218.39,-10.92,3,-173.5,22201.57,8.802,8352.33,9.709,348,98.15,97.13
0.12,"(0.3, 0.6)",True,80,8,18,13,33,38,20,1156,673,483,0.5822,17996.67,23946.54,5949.87,4.025,35.58,-12.32,15.568,-288.69,-14.43,11,-200.5,13267.64,4.074,4729.03,3.896,347,1156,954,202,0.8253,28401.57,32208.57,3807.0,8.46,33.76,-18.85,24.569,-223.44,-11.17,3,-173.5,20548.69,8.215,7852.89,9.189,347,98.35,97.36
0.12,"(0.3, 0.6)",True,80,8,18,13,38,43,10,1157,627,530,0.5419,22291.81,28271.99,5980.18,4.728,45.09,-11.28,19.267,-276.33,-13.82,13,-200.5,16390.22,4.783,5901.59,4.583,348,1157,955,202,0.8254,32705.77,36515.27,3809.5,9.585,38.24,-18.86,28.268,-213.34,-10.67,3,-173.5,23671.21,9.304,9034.56,10.421,348,98.35,97.53
0.12,"(0.3, 0.6)",True,80,8,18,13,38,43,15,1157,627,530,0.5419,20082.99,26063.17,5980.18,4.358,41.57,-11.28,17.358,-281.37,-14.07,13,-200.5,14863.94,4.43,5219.05,4.169,348,1157,955,202,0.8254,30496.91,34306.41,3809.5,9.005,35.92,-18.86,26.359,-218.39,-10.92,3,-173.5,22144.95,8.769,8351.96,9.709,348,98.19,97.18
0.12,"(0.3, 0.6)",True,80,8,18,13,38,43,20,1156,622,534,0.5381,18148.01,24130.5,5982.49,4.034,38.8,-11.2,15.699,-294.93,-14.75,13,-200.5,13412.32,4.089,4735.69,3.887,347,1156,954,202,0.8253,28552.93,32362.43,3809.5,8.495,33.92,-18.86,24.7,-223.44,-11.17,3,-173.5,20693.38,8.26,7859.55,9.196,347,98.27,97.23
0.12,"(0.3, 0.6)",True,80,10,20,15,30,35,10,1155,915,240,0.7922,22932.92,29484.01,6551.09,4.501,32.22,-27.3,19.855,-276.33,-13.82,4,-200.5,16920.54,4.646,6012.38,4.148,347,1155,945,210,0.8182,33328.7,37860.12,4531.41,8.355,40.06,-21.58,28.856,-213.34,-10.67,3,-173.5,24192.36,8.398,9136.35,8.242,347,98.21,97.36
0.12,"(0.3, 0.6)",True,80,10,20,15,30,35,15,1155,912,243,0.7896,20219.51,26803.36,6583.85,4.071,29.39,-27.09,17.506,-284.75,-14.24,4,-200.5,14938.31,4.201,5281.2,3.755,347,1155,945,210,0.8182,30615.27,35149.2,4533.93,7.752,37.19,-21.59,26.507,-218.39,-10.92,3,-173.5,22210.13,7.787,8405.14,7.663,347,98.23,97.27
0.12,"(0.3, 0.6)",True,80,10,20,15,30,35,20,1154,908,246,0.7868,17977.13,24597.78,6620.66,3.715,27.09,-26.91,15.578,-286.69,-14.33,4,-200.5,13201.33,3.811,4775.8,3.481,347,1154,944,210,0.818,28363.85,32900.28,4536.44,7.252,34.85,-21.6,24.579,-223.44,-11.17,3,-173.5,20464.16,7.249,7899.68,7.262,347,98.49,97.55
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,10,1155,916,239,0.7931,22595.09,29189.08,6594.0,4.427,31.87,-27.59,19.563,-276.33,-13.82,4,-200.5,16687.91,4.574,5907.18,4.069,347,1155,945,210,0.8182,32990.9,37520.9,4530.0,8.283,39.7,-21.57,28.564,-213.34,-10.67,3,-173.5,23959.75,8.331,9031.15,8.159,347,98.19,97.31
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,15,1155,912,243,0.7896,20215.1,26815.47,6600.37,4.063,29.4,-27.16,17.502,-282.97,-14.15,4,-200.5,14989.01,4.206,5226.09,3.715,347,1155,945,210,0.8182,30610.86,35143.36,4532.5,7.754,37.19,-21.58,26.503,-218.39,-10.92,3,-173.5,22260.85,7.806,8350.01,7.619,347,98.11,97.09
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,20,1154,908,246,0.7868,18026.48,24642.17,6615.69,3.725,27.14,-26.89,15.621,-286.41,-14.32,4,-200.5,13269.1,3.829,4757.38,3.472,347,1154,944,210,0.818,28413.22,32948.22,4535.0,7.265,34.9,-21.6,24.622,-223.44,-11.17,3,-173.5,20531.95,7.272,7881.27,7.248,347,98.41,97.44
0.12,"(0.3, 0.6)",True,80,10,20,15,40,45,10,1155,914,241,0.7913,22068.51,28682.01,6613.5,4.337,31.38,-27.44,19.107,-278.84,-13.94,4,-200.5,16190.82,4.453,5877.68,4.054,347,1155,945,210,0.8182,32464.2,37001.7,4537.5,8.155,39.16,-21.61,28.108,-213.34,-10.67,3,-173.5,23462.53,8.162,9001.67,8.136,347,98.42,97.63
0.12,"(0.3, 0.6)",True,80,10,20,15,40,45,15,1155,914,241,0.7913,19947.39,26560.89,6613.5,4.016,29.06,-27.44,17.27,-288.88,-14.44,4,-200.5,14678.28,4.13,5269.11,3.738,347,1155,945,210,0.8182,30343.04,34880.54,4537.5,7.687,36.91,-21.61,26.271,-218.39,-10.92,3,-173.5,21950.01,7.7,8393.03,7.653,347,98.37,97.47
0.12,"(0.3, 0.6)",True,80,10,20,15,40,45,20,1154,908,246,0.7868,18035.97,24654.26,6618.29,3.725,27.15,-26.9,15.629,-298.92,-14.95,4,-200.5,13200.03,3.812,4835.94,3.513,347,1154,944,210,0.818,28422.66,32960.16,4537.5,7.264,34.92,-21.61,24.63,-223.44,-11.17,3,-173.5,20462.84,7.246,7959.82,7.31,347,98.59,97.71
0.12,"(0.3, 0.6)",True,80,12,22,17,32,37,10,1154,887,267,0.7686,22449.66,29726.52,7276.86,4.085,33.51,-27.25,19.454,-262.83,-13.14,3,-200.5,16679.93,4.285,5769.73,3.623,347,1154,921,233,0.7981,32836.29,37871.2,5034.91,7.522,41.12,-21.61,28.454,-199.84,-9.99,3,-173.5,23942.77,7.71,8893.51,7.064,347,98.0,97.02
0.12,"(0.3, 0.6)",True,80,12,22,17,32,37,15,1154,881,273,0.7634,19821.02,27124.44,7303.42,3.714,30.79,-26.75,17.176,-271.75,-13.59,4,-200.5,14782.89,3.902,5038.13,3.281,347,1154,921,233,0.7981,30207.62,35245.04,5037.43,6.997,38.27,-21.62,26.176,-207.39,-10.37,3,-173.5,22045.73,7.174,8161.89,6.566,347,97.94,96.81
0.12,"(0.3, 0.6)",True,80,12,22,17,32,37,20,1153,880,273,0.7632,17655.44,24978.75,7323.31,3.411,28.38,-26.83,15.313,-277.91,-13.9,4,-200.5,13061.78,3.559,4593.66,3.071,346,1153,920,233,0.7979,28033.02,33072.96,5039.94,6.562,35.95,-21.63,24.313,-214.94,-10.75,3,-173.5,20324.61,6.688,7708.4,6.256,346,98.26,97.19
0.12,"(0.3, 0.6)",True,80,12,22,17,37,42,10,1154,886,268,0.7678,22142.9,29447.34,7304.44,4.031,33.24,-27.26,19.188,-267.83,-13.39,3,-200.5,16373.51,4.217,5769.39,3.605,347,1154,921,233,0.7981,32529.54,37562.04,5032.5,7.464,40.78,-21.6,28.189,-204.84,-10.24,3,-173.5,23636.33,7.628,8893.21,7.064,347,98.16,97.25
0.12,"(0.3, 0.6)",True,80,12,22,17,37,42,15,1154,881,273,0.7634,19853.18,27160.13,7306.95,3.717,30.83,-26.77,17.204,-272.87,-13.64,4,-200.5,14765.55,3.9,5087.63,3.297,347,1154,921,233,0.7981,30239.78,35274.78,5035.0,7.006,38.3,-21.61,26.204,-209.89,-10.49,3,-173.5,22028.38,7.173,8211.4,6.599,347,98.03,96.95
0.12,"(0.3, 0.6)",True,80,12,22,17,37,42,20,1153,877,276,0.7606,17754.65,25080.71,7326.05,3.423,28.6,-26.54,15.399,-277.91,-13.9,4,-200.5,13132.88,3.571,4621.78,3.085,346,1153,920,233,0.7979,28132.24,33169.74,5037.5,6.585,36.05,-21.62,24.399,-214.94,-10.75,3,-173.5,20395.73,6.711,7736.52,6.275,346,98.26,97.2
0.12,"(0.3, 0.6)",True,80,12,22,17,42,47,10,1154,884,270,0.766,21696.69,29018.62,7321.94,3.963,32.83,-27.12,18.801,-267.83,-13.39,4,-200.5,15980.74,4.132,5715.95,3.575,347,1154,921,233,0.7981,32083.38,37123.38,5040.0,7.366,40.31,-21.63,27.802,-204.84,-10.24,3,-173.5,23243.57,7.504,8839.81,7.028,347,98.3,97.44
0.12,"(0.3, 0.6)",True,80,12,22,17,42,47,15,1154,884,270,0.766,19618.72,26940.65,7321.94,3.679,30.48,-27.12,17.001,-272.87,-13.64,4,-200.5,14499.89,3.842,5118.83,3.306,347,1154,921,233,0.7981,30005.35,35045.35,5040.0,6.953,38.05,-21.63,26.001,-209.89,-10.49,3,-173.5,21762.71,7.09,8242.65,6.621,347,98.24,97.26
0.12,"(0.3, 0.6)",True,80,12,22,17,42,47,20,1154,882,272,0.7643,17681.37,25003.32,7321.94,3.415,28.35,-26.92,15.322,-279.32,-13.97,4,-200.5,13001.05,3.548,4680.32,3.109,347,1154,921,233,0.7981,28067.99,33107.99,5040.0,6.569,35.95,-21.63,24.322,-214.94,-10.75,3,-173.5,20263.9,6.671,7804.09,6.322,347,98.46,97.49
0.12,"(0.3, 0.6)",True,80,15,25,20,35,40,10,1150,871,279,0.7574,22663.18,30784.84,8121.66,3.79,35.34,-29.11,19.707,-232.09,-11.6,5,-200.5,16939.79,4.006,5723.39,3.302,345,1150,898,252,0.7809,33014.35,38773.35,5759.0,6.733,43.18,-22.85,28.708,-173.5,-8.67,4,-173.5,24185.12,6.917,8829.23,6.282,345,97.78,96.73
0.12,"(0.3, 0.6)",True,80,15,25,20,35,40,15,1150,862,288,0.7496,20165.02,28297.22,8132.21,3.48,32.83,-28.24,17.535,-262.16,-13.11,5,-200.5,15127.49,3.681,5037.53,3.023,345,1150,898,252,0.7809,30516.11,36277.61,5761.5,6.297,40.4,-22.86,26.536,-173.5,-8.68,4,-173.5,22372.79,6.47,8143.32,5.872,345,97.73,96.52
