score_lighter,score_blofin,sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,lighter_n,lighter_net_pnl,lighter_profit_factor,lighter_max_dd,lighter_win_rate,lighter_oos_net_pnl,lighter_oos_pf,blofin_net_pnl,blofin_profit_factor,blofin_max_dd
99.89,99.76,100,0.12,"(0.3, 0.6)",True,1109,28502.03,4.081,-294.15,0.7692,8548.07,4.636,18519.91,2.603,-411.13
99.88,99.76,120,0.12,"(0.3, 0.6)",True,1104,30670.3,4.107,-381.41,0.7763,9613.8,5.276,20733.37,2.714,-498.39
99.88,99.76,120,0.12,"(0.3, 0.6)",True,1104,31090.25,4.149,-381.41,0.7763,9739.06,5.331,21153.29,2.749,-498.39
99.88,99.75,100,0.12,"(0.3, 0.6)",True,1109,27223.1,3.942,-316.58,0.7692,8190.05,4.484,17241.01,2.492,-433.57
99.88,99.75,100,0.12,"(0.3, 0.6)",True,1109,27043.58,3.923,-316.58,0.7692,8152.74,4.468,17061.49,2.476,-433.57
99.87,99.75,120,0.12,"(0.3, 0.6)",True,1104,29885.41,4.027,-376.53,0.7763,9358.45,5.162,19948.53,2.649,-493.51
99.86,99.73,120,0.12,"(0.3, 0.6)",True,1104,28788.14,3.916,-399.0,0.7763,9044.35,5.022,18851.24,2.559,-515.97
99.86,99.72,120,0.12,"(0.3, 0.6)",True,1104,28122.69,3.849,-394.15,0.7763,8862.8,4.942,18185.84,2.504,-511.12
99.86,99.72,120,0.12,"(0.3, 0.6)",True,1104,28644.33,3.902,-399.0,0.7763,8974.85,4.991,18707.45,2.547,-515.97
99.85,99.68,120,0.12,"(0.3, 0.6)",True,1104,26590.74,3.694,-411.77,0.7763,8372.44,4.724,16653.92,2.377,-528.74
99.85,99.72,100,0.12,"(0.3, 0.6)",True,1109,31452.16,4.399,-281.41,0.7692,9409.34,5.002,21469.92,2.858,-398.4
99.85,99.72,100,0.12,"(0.3, 0.6)",True,1109,31032.2,4.354,-281.41,0.7692,9284.08,4.949,21050.0,2.822,-398.4
99.85,99.7,100,0.12,"(0.3, 0.6)",True,1109,29167.47,4.153,-299.0,0.7692,8729.62,4.713,19185.31,2.66,-415.98
99.84,99.68,120,0.12,"(0.3, 0.6)",True,1104,26646.81,3.699,-416.58,0.7763,8452.48,4.759,16709.99,2.382,-533.55
99.84,99.68,120,0.12,"(0.3, 0.6)",True,1104,26826.34,3.718,-416.58,0.7763,8489.78,4.776,16889.5,2.396,-533.55
99.83,99.64,100,0.12,"(0.3, 0.6)",True,1109,26987.51,3.917,-311.77,0.7692,8072.71,4.434,17005.42,2.472,-428.75
99.81,99.65,100,0.12,"(0.3, 0.6)",True,1109,30247.31,4.269,-276.53,0.7692,9028.72,4.84,20265.16,2.754,-393.52
99.79,99.61,100,0.12,"(0.3, 0.6)",True,1109,29023.67,4.137,-299.0,0.7692,8660.12,4.684,19041.52,2.648,-415.98
99.1,98.64,80,0.12,"(0.3, 0.6)",True,1129,31861.53,4.605,-325.0,0.7617,9177.11,4.74,21699.71,2.928,-397.04
99.1,98.54,80,0.12,"(0.3, 0.6)",True,1129,27951.27,4.163,-337.49,0.7617,8060.75,4.285,17789.54,2.58,-409.53
99.09,98.63,80,0.12,"(0.3, 0.6)",True,1129,32302.65,4.655,-325.45,0.7617,9297.37,4.789,22140.78,2.967,-397.49
99.07,98.5,80,0.12,"(0.3, 0.6)",True,1129,28128.3,4.183,-337.27,0.7617,8098.05,4.301,17966.56,2.596,-409.3
99.03,98.47,80,0.12,"(0.3, 0.6)",True,1129,29419.47,4.329,-336.86,0.7617,8448.59,4.443,19257.71,2.711,-408.9
99.02,98.49,80,0.12,"(0.3, 0.6)",True,1129,31102.59,4.52,-331.84,0.7617,8921.75,4.636,20940.8,2.86,-403.88
99.01,98.46,80,0.12,"(0.3, 0.6)",True,1129,30080.41,4.404,-329.55,0.7617,8627.64,4.516,19918.6,2.769,-401.59
99.0,98.36,120,0.12,"(0.3, 0.6)",True,1145,28038.69,6.836,-343.44,0.8245,8044.13,7.469,17732.97,3.604,-418.9
