sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
60.0,0.09,None,True,1020,568,452,0.5569,-525.15,17407.79,17932.94,0.971,30.65,-39.67,-0.515,-1424.5,-71.22,8,-380.96,-418.32,0.967,-106.83,0.979,306,1020,568,452,0.5569,8655.49,22520.74,13865.25,1.624,39.65,-30.68,8.486,-389.02,-19.45,8,-327.0,6008.26,1.604,2647.23,1.677,306,92.03,15.0
60.0,0.09,None,False,1174,649,525,0.5528,-452.85,20445.48,20898.33,0.978,31.5,-39.81,-0.386,-1560.89,-78.04,9,-301.47,-216.69,0.985,-236.16,0.962,353,1174,649,525,0.5528,10113.5,26287.25,16173.75,1.625,40.5,-30.81,8.615,-445.69,-22.28,9,-220.5,7172.69,1.63,2940.81,1.614,353,91.44,15.0
60.0,0.09,"(0.3, 0.5)",True,862,479,383,0.5557,181.5,15023.17,14841.67,1.012,31.36,-38.75,0.211,-1270.32,-63.52,11,-388.43,-13.86,0.999,195.36,1.046,259,862,479,383,0.5557,7940.61,19335.36,11394.75,1.697,40.37,-29.75,9.212,-536.23,-26.81,11,-327.0,5413.93,1.661,2526.68,1.787,259,93.26,36.15
60.0,0.09,"(0.3, 0.5)",False,996,548,448,0.5502,138.42,17657.52,17519.1,1.008,32.22,-39.11,0.139,-1433.21,-71.66,11,-388.43,251.06,1.021,-112.64,0.979,299,996,548,448,0.5502,9103.17,22590.42,13487.25,1.675,41.22,-30.11,9.14,-540.73,-27.04,11,-289.5,6524.62,1.694,2578.55,1.631,299,91.79,15.85
60.0,0.09,"(0.2, 0.5)",True,768,433,335,0.5638,853.67,13787.24,12933.57,1.066,31.84,-38.61,1.112,-1161.3,-58.07,8,-380.96,970.87,1.109,-117.2,0.971,231,768,433,335,0.5638,7766.74,17685.49,9918.75,1.783,40.84,-29.61,10.113,-500.23,-25.01,8,-327.0,5804.64,1.846,1962.1,1.642,231,91.86,26.98
60.0,0.09,"(0.2, 0.5)",False,890,498,392,0.5596,1092.61,16295.57,15202.96,1.072,32.72,-38.78,1.228,-1277.34,-63.87,9,-301.47,1361.08,1.132,-268.47,0.945,267,890,498,392,0.5596,9103.2,20778.45,11675.25,1.78,41.72,-29.78,10.228,-548.87,-27.44,9,-220.5,6968.47,1.878,2134.73,1.571,267,90.63,30.21
60.0,0.09,"(0.3, 0.6)",True,806,450,356,0.5583,598.1,14235.43,13637.33,1.044,31.63,-38.31,0.742,-764.38,-38.22,11,-388.43,271.52,1.028,326.58,1.085,242,806,450,356,0.5583,7853.27,18286.52,10433.25,1.753,40.64,-29.31,9.744,-353.1,-17.65,11,-327.0,5348.31,1.713,2504.96,1.856,242,94.61,46.09
60.0,0.09,"(0.3, 0.6)",False,928,518,410,0.5582,1089.24,16955.61,15866.37,1.069,32.73,-38.7,1.174,-924.71,-46.24,11,-388.43,702.55,1.063,386.69,1.083,279,928,518,410,0.5582,9442.19,21618.44,12176.25,1.775,41.73,-29.7,10.175,-387.89,-19.39,11,-289.5,6544.1,1.758,2898.1,1.818,279,95.09,53.34
60.0,0.12,None,True,639,378,261,0.5915,2362.75,12377.09,10014.34,1.236,32.74,-38.37,3.698,-594.92,-29.75,8,-260.96,1742.26,1.243,620.49,1.218,192,639,378,261,0.5915,8114.84,15780.59,7665.75,2.059,41.75,-29.37,12.699,-414.75,-20.74,8,-207.0,5765.99,2.038,2348.85,2.114,192,98.79,66.52
60.0,0.12,None,False,735,427,308,0.581,2206.17,14055.02,11848.84,1.186,32.92,-38.47,3.002,-710.62,-35.53,8,-347.93,1877.97,1.226,328.21,1.093,221,735,427,308,0.581,8822.09,17899.34,9077.25,1.972,41.92,-29.47,12.003,-415.18,-20.76,8,-276.0,6504.64,2.014,2317.45,1.871,221,96.48,56.45
