score_lighter,score_blofin,sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,lighter_n,lighter_net_pnl,lighter_profit_factor,lighter_max_dd,lighter_win_rate,lighter_oos_net_pnl,lighter_oos_pf,blofin_net_pnl,blofin_profit_factor,blofin_max_dd
99.48,73.55,60.0,0.12,"(0.3, 0.6)",True,511,7295.71,2.26,-380.25,0.6008,2212.84,2.384,2695.13,1.353,-534.71
99.44,68.95,75.0,0.12,"(0.3, 0.6)",True,501,6695.5,2.076,-375.87,0.6108,2039.66,2.207,2185.16,1.274,-537.71
99.1,67.49,110.0,0.12,"(0.3, 0.6)",True,481,6479.33,1.991,-464.09,0.6362,2121.25,2.255,2149.45,1.265,-763.9
98.98,67.03,110.0,0.12,"(0.3, 0.5)",True,515,6822.28,1.984,-474.63,0.633,2122.54,2.164,2186.45,1.253,-866.43
98.95,66.85,120.0,0.12,"(0.2, 0.5)",True,465,6299.0,2.002,-408.59,0.6495,1851.82,2.089,2113.03,1.273,-598.36
98.89,86.97,120.0,0.15,"(0.3, 0.6)",True,306,6240.12,2.944,-429.87,0.6732,1832.21,3.143,3485.58,1.848,-564.74
98.79,66.52,60.0,0.12,None,True,639,8114.84,2.059,-414.75,0.5915,2348.85,2.114,2362.75,1.236,-594.92
98.72,67.89,70.0,0.12,"(0.3, 0.6)",True,504,6867.0,2.129,-415.87,0.6091,1990.16,2.144,2329.69,1.297,-577.68
98.53,65.42,82.5,0.12,"(0.3, 0.6)",True,497,6308.74,1.96,-420.87,0.6157,2059.16,2.185,1834.55,1.221,-582.69
98.5,65.2,80.0,0.12,"(0.3, 0.6)",True,499,6294.74,1.957,-405.87,0.6112,1949.16,2.094,1802.41,1.217,-567.7
98.47,66.6,120.0,0.12,"(0.3, 0.6)",True,480,6417.58,1.961,-483.87,0.6438,2153.25,2.273,2096.83,1.255,-836.34
98.32,65.94,120.0,0.12,"(0.3, 0.5)",True,514,6730.53,1.947,-417.87,0.6401,2177.54,2.187,2103.85,1.24,-921.6
98.32,62.1,65.0,0.12,None,True,633,7769.5,1.997,-358.18,0.5956,2196.16,2.007,2071.55,1.205,-619.1
98.28,63.86,82.5,0.12,"(0.3, 0.5)",True,531,6614.19,1.949,-354.87,0.6121,1967.94,2.02,1834.12,1.208,-667.58
98.25,69.45,65.0,0.12,"(0.3, 0.6)",True,506,7165.5,2.239,-385.37,0.6067,2019.74,2.232,2610.14,1.345,-556.2
98.1,82.29,75.0,0.15,"(0.3, 0.6)",True,318,6089.63,2.898,-249.87,0.6447,1690.46,2.844,3226.49,1.764,-384.79
98.05,84.5,60.0,0.15,"(0.3, 0.6)",True,319,6228.97,3.089,-229.5,0.6364,1720.46,2.941,3356.7,1.834,-324.81
97.99,64.37,110.0,0.12,"(0.2, 0.5)",True,466,6330.75,2.026,-506.09,0.6416,1784.12,2.05,2135.65,1.278,-685.94
97.81,66.37,60.0,0.12,"(0.3, 0.5)",True,547,7442.16,2.173,-509.25,0.596,2064.63,2.138,2517.74,1.302,-653.44
97.78,83.11,65.0,0.18,None,True,244,4970.1,3.201,-170.38,0.6598,1361.87,2.94,2773.34,1.923,-259.93
97.78,83.53,120.0,0.15,"(0.3, 0.5)",True,322,6374.38,2.833,-429.87,0.6708,1764.71,2.785,3475.69,1.784,-564.74
97.7,85.61,120.0,0.15,"(0.3, 0.5)",False,366,7196.17,2.847,-429.87,0.6749,1975.5,2.747,3901.6,1.786,-564.74
97.7,85.7,65.0,0.15,"(0.3, 0.6)",True,319,6380.13,3.186,-209.87,0.6426,1725.46,2.957,3507.98,1.889,-344.8
97.61,82.79,70.0,0.15,"(0.3, 0.6)",True,319,6195.13,2.996,-229.87,0.6426,1670.46,2.784,3322.96,1.805,-364.8
97.57,85.72,120.0,0.15,"(0.3, 0.6)",False,346,6926.83,2.911,-429.87,0.6763,1890.0,2.691,3812.38,1.823,-564.74
97.51,65.22,82.5,0.12,"(0.2, 0.5)",True,476,6627.11,2.131,-341.09,0.6239,1792.03,2.08,2342.13,1.313,-493.39
97.47,63.42,85.0,0.12,"(0.2, 0.5)",True,476,6473.36,2.076,-356.09,0.6239,1749.53,2.028,2188.39,1.287,-510.89
97.47,63.63,85.0,0.12,"(0.3, 0.6)",True,497,6134.99,1.909,-435.87,0.6157,2014.16,2.13,1660.81,1.196,-597.68
97.41,63.94,100.0,0.12,"(0.3, 0.5)",True,522,6513.57,1.906,-459.87,0.6207,1971.85,2.003,1814.71,1.202,-757.29
97.29,62.01,85.0,0.12,"(0.3, 0.5)",True,531,6430.44,1.899,-369.87,0.6121,1917.94,1.969,1650.37,1.183,-690.08
97.25,60.35,75.0,0.12,"(0.3, 0.5)",True,536,6951.45,2.042,-348.0,0.6063,1850.94,1.951,2126.26,1.248,-600.11
97.23,64.03,100.0,0.12,"(0.3, 0.6)",True,489,6173.62,1.904,-525.87,0.6237,1922.66,2.043,1771.69,1.209,-709.95
97.2,77.0,82.5,0.15,"(0.3, 0.6)",True,315,5795.63,2.67,-279.87,0.6476,1537.46,2.438,2959.48,1.662,-414.78
97.13,78.08,80.0,0.15,"(0.3, 0.6)",True,317,5914.13,2.748,-269.87,0.6467,1560.46,2.491,3059.97,1.697,-404.78
97.13,75.65,85.0,0.15,"(0.3, 0.6)",True,315,5705.63,2.603,-289.87,0.6476,1509.96,2.376,2869.48,1.629,-424.78
97.02,63.23,65.0,0.12,"(0.3, 0.5)",True,542,7336.95,2.162,-391.18,0.6015,1931.94,2.035,2457.72,1.298,-643.12
96.99,73.01,90.0,0.15,"(0.3, 0.6)",True,315,5525.63,2.478,-309.87,0.6476,1454.96,2.263,2689.47,1.568,-444.77
96.97,64.13,60.0,0.12,"(0.3, 0.6)",False,583,7903.92,2.146,-522.87,0.5935,2090.51,2.008,2655.45,1.294,-783.81
96.93,80.24,70.0,0.18,None,True,244,4825.1,3.008,-190.38,0.6598,1316.87,2.763,2628.31,1.834,-284.94
96.78,81.0,60.0,0.15,"(0.3, 0.5)",True,337,6414.23,3.006,-229.5,0.632,1648.46,2.609,3379.92,1.783,-324.81
96.75,62.46,90.0,0.12,"(0.3, 0.6)",True,495,6021.49,1.876,-465.87,0.6202,1891.16,2.01,1565.26,1.183,-630.73
96.65,78.1,75.0,0.15,"(0.3, 0.5)",True,336,6229.89,2.796,-249.87,0.6399,1592.96,2.475,3204.7,1.703,-384.79
96.65,60.53,90.0,0.12,"(0.2, 0.5)",True,475,6432.86,2.054,-386.09,0.6295,1664.53,1.932,2156.83,1.281,-545.9
96.52,74.11,82.5,0.15,"(0.3, 0.5)",True,333,5913.39,2.576,-279.87,0.6426,1507.46,2.293,2915.19,1.604,-414.78
96.5,82.16,120.0,0.15,"(0.2, 0.5)",True,290,5970.73,2.889,-462.87,0.6931,1547.21,2.587,3360.01,1.848,-588.72
96.49,61.44,95.0,0.12,"(0.3, 0.6)",True,495,6180.63,1.893,-495.87,0.6222,1801.16,1.918,1724.59,1.2,-680.21
96.49,67.24,60.0,0.12,"(0.2, 0.5)",True,487,7192.59,2.324,-542.25,0.6078,1860.52,2.16,2808.23,1.393,-677.42
96.48,56.45,60.0,0.12,None,False,735,8822.09,1.972,-415.18,0.581,2317.45,1.871,2206.17,1.186,-710.62
96.47,75.29,80.0,0.15,"(0.3, 0.5)",True,335,6039.39,2.65,-269.87,0.6418,1532.96,2.345,3023.18,1.638,-404.78
96.44,72.67,85.0,0.15,"(0.3, 0.5)",True,333,5815.89,2.51,-289.87,0.6426,1477.46,2.236,2817.68,1.572,-424.78
