sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,zec_score,zec_net_pnl,zec_pf,zec_n,zec_dd,zec_wr,sol_score,sol_net_pnl,sol_pf,sol_n,sol_dd,sol_wr,combined_score,combined_net,both_profitable,pnl_spread
120.0,0.12,"(0.3, 0.6)",True,99.75,20800.69,2.394,1074,-514.32,0.6937,98.47,6417.58,1.961,480,-483.87,0.6438,99.11,27218.269999999997,True,14383.109999999999
120.0,0.15,"(0.3, 0.6)",True,99.12,19018.26,2.842,825,-354.18,0.7079,98.89,6240.12,2.944,306,-429.87,0.6732,99.005,25258.379999999997,True,12778.14
75.0,0.12,"(0.3, 0.6)",True,98.32,22539.66,2.674,1114,-382.5,0.6697,99.44,6695.5,2.076,501,-375.87,0.6108,98.88,29235.16,True,15844.16
110.0,0.12,"(0.3, 0.6)",True,98.33,20976.52,2.437,1079,-434.32,0.6886,99.1,6479.33,1.991,481,-464.09,0.6362,98.715,27455.85,True,14497.19
100.0,0.12,"(0.3, 0.6)",True,99.52,21542.41,2.524,1085,-361.0,0.6848,97.23,6173.62,1.904,489,-525.87,0.6237,98.375,27716.03,True,15368.79
70.0,0.12,"(0.3, 0.6)",True,97.82,22515.03,2.685,1115,-357.5,0.6637,98.72,6867.0,2.129,504,-415.87,0.6091,98.27,29382.03,True,15648.029999999999
82.5,0.12,"(0.3, 0.6)",True,97.98,22941.08,2.733,1105,-373.5,0.6778,98.53,6308.74,1.96,497,-420.87,0.6157,98.255,29249.82,True,16632.340000000004
120.0,0.15,"(0.3, 0.6)",False,98.8,21621.9,2.826,947,-529.19,0.7001,97.57,6926.83,2.911,346,-429.87,0.6763,98.185,28548.730000000003,True,14695.070000000002
80.0,0.12,"(0.3, 0.6)",True,97.86,23202.08,2.784,1107,-361.0,0.6775,98.5,6294.74,1.957,499,-405.87,0.6112,98.18,29496.82,True,16907.340000000004
60.0,0.12,"(0.3, 0.6)",True,96.82,22998.24,2.806,1126,-307.5,0.6554,99.48,7295.71,2.26,511,-380.25,0.6008,98.15,30293.95,True,15702.530000000002
75.0,0.15,"(0.3, 0.6)",True,97.55,20432.89,3.242,852,-256.5,0.6866,98.1,6089.63,2.898,318,-249.87,0.6447,97.82499999999999,26522.52,True,14343.259999999998
110.0,0.12,"(0.3, 0.5)",True,96.65,21480.85,2.258,1190,-478.65,0.6765,98.98,6822.28,1.984,515,-474.63,0.633,97.815,28303.129999999997,True,14658.57
85.0,0.12,"(0.3, 0.6)",True,98.12,22570.98,2.683,1101,-386.0,0.6785,97.47,6134.99,1.909,497,-435.87,0.6157,97.795,28705.97,True,16435.989999999998
95.0,0.12,"(0.3, 0.6)",True,99.04,21759.0,2.565,1088,-374.5,0.682,96.49,6180.63,1.893,495,-495.87,0.6222,97.765,27939.63,True,15578.369999999999
